given_address,lat,lon,formatted,name,street,county_code,postcode,suburb,district,city,state_code,confidence_street_level,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Bradford, West Yorkshire, England (United Kingdom)",53.7944229,-1.7519186,"Bradford, West Yorkshire, ENG, United Kingdom",,,,,,,Bradford,ENG,,West Yorkshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Des Moines, Iowa (United States of America)",41.5910323,-93.6046655,"Des Moines, IA, United States of America",,,,,,,Des Moines,IA,,Polk County,Iowa,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tucson, Arizona (United States of America)",32.2228765,-110.9748477,"Tucson, AZ 85701, United States of America",Tucson,,,85701,,,Tucson,AZ,,Pima County,Arizona,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Boston, Massachusetts (United States of America)",42.3602534,-71.0582912,"Boston, MA, United States of America",,,,,,,Boston,MA,,Suffolk County,Massachusetts,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Iruma, Saitama (Japan)",35.8358142,139.3909293,"Iruma, Saitama Prefecture, Japan",,,,,,,Iruma,,,Saitama Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Los Angeles, California (United States of America)",34.0536909,-118.242766,"Los Angeles, CA, United States of America",,,,,,,Los Angeles,CA,,Los Angeles County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Schweinfurt, Bayern (Germany)",50.0499945,10.233302,"Schweinfurt, Bavaria, Germany",,,,,,,Schweinfurt,,,,Bavaria,Germany,de,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"San José, California (United States of America)",37.3361905,-121.890583,"San Jose, CA, United States of America",,,,,,,San Jose,CA,,Santa Clara County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St. Louis, Missouri (United States of America)",38.6264256,-90.1995853,"Saint Louis, MO, United States of America",,,,,,,Saint Louis,MO,,,Missouri,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Texas (United States of America),31.2638905,-98.5456116,"TX, United States of America",,,,,,,,TX,,,Texas,United States,us,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Berlin, Berlin (Germany)",52.5034002,13.3386373,"Tauentzienstraße, 10789 Berlin, Germany",Berlin,Tauentzienstraße,,10789,Charlottenburg,Charlottenburg-Wilmersdorf,Berlin,,,,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Atotonilco El Alto, Jalisco (Mexico)",20.5496954,-102.5085246,"47753 Atotonilco El Alto, JAL, Mexico",Atotonilco El Alto,,,47753,,,Atotonilco El Alto,JAL,,Atotonilco el Alto,Jalisco,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Surrey, England (United Kingdom)",51.2715316,-0.3414523511290909,"Surrey, ENG, United Kingdom",Surrey,,SRY,,,,,ENG,,Surrey,England,United Kingdom,gb,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tokyo, Tokyo (Japan)",35.695126,139.75391,"Tokyo, Chiyoda, Japan",,,,,,,Tokyo,,,Chiyoda,Tokyo,Japan,jp,1,1,,,https://www.whosonfirst.org/docs/licenses/
"Honolulu, Hawaii (United States of America)",21.304547,-157.855676,"Honolulu, HI, United States of America",,,,,,,Honolulu,HI,,Honolulu County,Hawaii,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Novi, Michigan (United States of America)",42.48059,-83.4754913,"Novi, MI, United States of America",,,,,,,Novi,MI,,Oakland County,Michigan,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Windsor, Ontario (Canada)",42.2858536,-82.9780695,"Windsor, ON, Canada",,,,,,,Windsor,ON,,Windsor,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Osaka, Osaka (Japan)",34.6937569,135.5014539,"Osaka, Osaka Prefecture, Japan",,,,,,,Osaka,,,Osaka Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Brooklyn, Ohio (United States of America)",41.439754,-81.7405559,"Brooklyn, OH 44144, United States of America",,,,44144,,,Brooklyn,OH,,Cuyahoga County,Ohio,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sacramento, California (United States of America)",38.5810606,-121.493895,"Sacramento, CA, United States of America",,,,,,,Sacramento,CA,,Sacramento County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Leeds, West Yorkshire, England (United Kingdom)",53.7974185,-1.5437941,"Leeds, West Yorkshire, ENG, United Kingdom",,,,,,,Leeds,ENG,,West Yorkshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,54.7023545,-3.2765753,United Kingdom,,,,,,,,,,,,United Kingdom,gb,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nevada (United States of America),39.5158825,-116.8537227,"NV, United States of America",,,,,,,,NV,,,Nevada,United States,us,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Salt Lake City, Utah (United States of America)",40.7596198,-111.8867975,"Salt Lake City, UT, United States of America",,,,,,,Salt Lake City,UT,,Salt Lake County,Utah,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Speyer, Rheinland-Pfalz (Germany)",49.3165553,8.433615,"67346 Speyer, Germany",,,,67346,,,Speyer,,,,Rhineland-Palatinate,Germany,de,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Newfoundland and Labrador (Canada),53.8217327,-61.2295532,"NL, Canada",,,,,,,,NL,,,Newfoundland and Labrador,Canada,ca,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Royal Leamington Spa, Warwickshire, England (United Kingdom)",52.2913394,-1.536404,"Royal Leamington Spa, Warwickshire, ENG, United Kingdom",,,WAR,,,,Royal Leamington Spa,ENG,,Warwickshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"London, Greater London, England (United Kingdom)",51.5073219,-0.1276474,"London, ENG, United Kingdom",,,,,,,London,ENG,,Greater London,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Nuneaton, Warwickshire, England (United Kingdom)",52.5246182,-1.4684488,"Nuneaton and Bedworth, CV11 5AB, United Kingdom",Nuneaton,,WAR,CV11 5AB,,,Nuneaton and Bedworth,ENG,,Warwickshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Nowy Sacz, Malopolskie (Poland)",49.6249173,20.691346,"Nowy Sącz, Lesser Poland Voivodeship, Poland",,,,,,,Nowy Sącz,,,,Lesser Poland Voivodeship,Poland,pl,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Yabu, Hyogo (Japan)",35.4044647,134.7674637,"Yabu, Hyogo Prefecture, Japan",,,,,,,Yabu,,,Hyogo Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Santiago de Cuba (Cuba),20.0214637,-75.8294928,"Santiago de Cuba, Cuba",,,,,,,Santiago de Cuba,,,,Santiago de Cuba,Cuba,cu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Chelmsford, Essex, England (United Kingdom)",51.7345398,0.4724553,"Chelmsford, Essex, ENG, United Kingdom",,,ESS,,,,Chelmsford,ENG,,Essex,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Acapulco de Juárez, Guerrero (Mexico)",16.8680495,-99.8940182,"39300 Acapulco, GRO, Mexico",Acapulco,,,39300,,,Acapulco,GRO,,Acapulco de Juárez,Guerrero,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United States of America,39.7837304,-100.445882,United States,,,,,,,,,,,,United States,us,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Murfreesboro, Tennessee (United States of America)",35.8460396,-86.3921096,"Murfreesboro, TN, United States of America",,,,,,,Murfreesboro,TN,,Rutherford County,Tennessee,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Dubbo, New South Wales (Australia)",-32.2478964,148.6026502,"Dubbo NSW 2830, Australia",,,,2830,,,Dubbo,NSW,,,New South Wales,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Paris, Île-de-France (France)",48.8566969,2.3514616,"Paris, Ile-de-France, France",,,,,,,Paris,,,,Ile-de-France,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Livingston, West Lothian, Scotland (United Kingdom)",55.8831932,-3.5149461,"Livingston, EH54 6HS, United Kingdom",Livingston,,WLN,EH54 6HS,,,Livingston,SCT,,West Lothian,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"North Brunswick, New Jersey (United States of America)",40.46695595,-74.45885221711328,"North Brunswick Government Center, NJ, United States of America",North Brunswick Government Center,,,,North Brunswick Government Center,,,NJ,,Middlesex County,New Jersey,United States,us,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Belo Horizonte, Minas Gerais (Brazil)",-19.9227318,-43.9450948,"Belo Horizonte, Região Metropolitana de Belo Horizonte, Brazil",,,,,,,Belo Horizonte,MG,,Região Metropolitana de Belo Horizonte,Minas Gerais,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kennesaw, Georgia (United States of America)",34.0234337,-84.6154897,"Kennesaw, GA, United States of America",,,,,,,Kennesaw,GA,,Cobb County,Georgia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Schönfließ, Brandenburg (Germany)",52.15432865,14.613377400648615,"Schönfließ, Eisenhüttenstadt, BB, Germany",Schönfließ,,,,,Schönfließ,Eisenhüttenstadt,BB,,Oder-Spree,Brandenburg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Baltimore, Maryland (United States of America)",39.2908816,-76.610759,"Baltimore, MD, United States of America",,,,,,,Baltimore,MD,,,Maryland,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Louisville, Kentucky (United States of America)",38.2542376,-85.759407,"Louisville, KY, United States of America",,,,,,,Louisville,KY,,Jefferson County,Kentucky,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sydney, New South Wales (Australia)",-33.8548157,151.2164539,"Sydney, NSW, Australia",,,,,,,Sydney,NSW,,,New South Wales,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hiroshima, Hiroshima (Japan)",34.3916058,132.4518156,"Hiroshima, Hiroshima Prefecture, Japan",,,,,,,Hiroshima,,,Hiroshima Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pennsylvania (United States of America),40.9699889,-77.7278831,"PA, United States of America",,,,,,,,PA,,,Pennsylvania,United States,us,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Japan,36.5748441,139.2394179,Japan,,,,,,,,,,,,Japan,jp,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Clovis, California (United States of America)",36.8252277,-119.7029194,"Clovis, CA, United States of America",,,,,,,Clovis,CA,,Fresno County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Florida (United States of America),27.7567667,-81.4639835,"FL, United States of America",,,,,,,,FL,,,Florida,United States,us,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ciudad de México, Ciudad de México (Mexico)",19.4326296,-99.1331785,"Mexico City, Mexico",,,,,,,Mexico City,,,,,Mexico,mx,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Montréal, Quebec (Canada)",45.5031824,-73.5698065,"Montreal, QC, Canada",,,,,,,Montreal,QC,,Urban agglomeration of Montreal,Quebec,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shelbyville, Indiana (United States of America)",39.5214373,-85.7769238,"Shelbyville, IN, United States of America",,,,,,,Shelbyville,IN,,Shelby County,Indiana,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Juárez, Chihuahua (Mexico)",31.7380034,-106.4809877,"Calle Sancho Panza, 32380 Ciudad Juárez, CHH, Mexico",Juárez,Calle Sancho Panza,,32380,,,Ciudad Juárez,CHH,,Municipio de Juárez,Chihuahua,Mexico,mx,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Guadalajara, Jalisco (Mexico)",20.6720375,-103.338396,"Guadalajara, JAL, Mexico",,,,,,,Guadalajara,JAL,,,Jalisco,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Naka, Tokushima (Japan)",33.94274,134.69379,"Naka Gawa, Anan, Japan",Naka Gawa,,,,,,,,,Anan,Tokushima Prefecture,Japan,jp,0.95,,,CC BY 4.0,https://www.geonames.org/datasources/
"Tajimi, Gifu (Japan)",35.3357572,137.127762,"Tajimi, Gifu Prefecture, Japan",,,,,,,Tajimi,,,Gifu Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Memramcook, New Brunswick (Canada)",45.9763743,-64.5669642,"Memramcook, NB, Canada",,,,,,,Memramcook,NB,,Westmorland County,New Brunswick,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Charlotte, North Carolina (United States of America)",35.2272086,-80.8430827,"Charlotte, NC, United States of America",,,,,,,Charlotte,NC,,Mecklenburg County,North Carolina,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Chicago, Illinois (United States of America)",41.8755616,-87.6244212,"Chicago, IL, United States of America",,,,,,,Chicago,IL,,Cook County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Perth Amboy, New Jersey (United States of America)",40.5200187,-74.2745215,"Perth Amboy, NJ 08861, United States of America",,,,08861,,,Perth Amboy,NJ,,Middlesex County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St. Joseph, Missouri (United States of America)",39.7686055,-94.8466322,"Saint Joseph, MO, United States of America",,,,,,,Saint Joseph,MO,,Buchanan County,Missouri,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hamilton, Ontario (Canada)",43.2560802,-79.8728583,"Hamilton, ON, Canada",,,,,,,Hamilton,ON,,Golden Horseshoe,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Atlanta, Georgia (United States of America)",33.7489924,-84.3902644,"Atlanta, GA, United States of America",,,,,,,Atlanta,GA,,,Georgia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Portland, Oregon (United States of America)",45.5202471,-122.6741949,"Portland, OR, United States of America",,,,,,,Portland,OR,,Multnomah County,Oregon,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pago Pago (American Samoa),,,,,,,,,,,,,,,,,,,,,
"Chiba, Chiba (Japan)",35.609985,140.118126,"Chiba, Chiba Prefecture, Japan",,,,,,,Chiba,,,Chiba Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hollywood, Worcestershire, England (United Kingdom)",52.3882858,-1.8766952,"Hollywood, B47 5JN, United Kingdom",Hollywood,,WOR,B47 5JN,,,Hollywood,ENG,,Worcestershire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Detroit, Michigan (United States of America)",42.3315509,-83.0466403,"Detroit, MI, United States of America",,,,,,,Detroit,MI,,Wayne County,Michigan,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shepherdsville, Kentucky (United States of America)",37.9885936,-85.7158246,"Shepherdsville, KY, United States of America",,,,,,,Shepherdsville,KY,,Bullitt County,Kentucky,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ayase, Kanagawa (Japan)",35.4460475,139.430823,"Ayase, Kanagawa Prefecture, Japan",,,,,,,Ayase,,,Kanagawa Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phoenix, Arizona (United States of America)",33.4484367,-112.0741417,"Phoenix, AZ, United States of America",,,,,,,Phoenix,AZ,,Maricopa County,Arizona,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Winnipeg, Manitoba (Canada)",49.8955367,-97.1384584,"Winnipeg, MB, Canada",,,,,,,Winnipeg,MB,,,Manitoba,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guayanilla (Puerto Rico),,,,,,,,,,,,,,,,,,,,,
"Omaha, Nebraska (United States of America)",41.2587459,-95.9383758,"Omaha, NE, United States of America",,,,,,,Omaha,NE,,Douglas County,Nebraska,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Zacoalco de Torres, Jalisco (Mexico)",20.2299884,-103.5716875,"45750 Zacoalco de Torres, JAL, Mexico",Zacoalco de Torres,,,45750,,,Zacoalco de Torres,JAL,,Zacoalco de Torres,Jalisco,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Philadelphia, Pennsylvania (United States of America)",39.9527237,-75.1635262,"Philadelphia, PA, United States of America",,,,,,,Philadelphia,PA,,Philadelphia County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brandenburg (Germany),52.8455492,13.2461296,"BB, Germany",,,,,,,,BB,,,Brandenburg,Germany,de,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vancouver, British Columbia (Canada)",49.2608724,-123.113952,"Vancouver, BC, Canada",,,,,,,Vancouver,BC,,Metro Vancouver Regional District,British Columbia,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Chatham, New Brunswick (Canada)",47.008081950000005,-65.49356837155295,"Chatham, Miramichi, NB, Canada",Chatham,,,,,Chatham,Miramichi,NB,,Northumberland County,New Brunswick,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Wigan, Greater Manchester, England (United Kingdom)",53.5457188,-2.6264624,"Wigan, Greater Manchester, ENG, United Kingdom",,,,,,,Wigan,ENG,,Greater Manchester,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lecce, Puglia (Italy)",40.3570373,18.1718482,"73100 Lecce LE, Italy",,,LE,73100,,,Lecce,,,Lecce,Apulia,Italy,it,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Netherton, West Midlands, England (United Kingdom)",52.0730615,-2.0139841,"Wychavon, WR10 3JG, United Kingdom",,,WOR,WR10 3JG,Netherton,,Wychavon,ENG,,Worcestershire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Walsall, West Midlands, England (United Kingdom)",52.5847949,-1.9822687,"Walsall, West Midlands Combined Authority, ENG, United Kingdom",,,,,,,Walsall,ENG,,West Midlands Combined Authority,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Birmingham, West Midlands, England (United Kingdom)",52.4796992,-1.9026911,"Birmingham, West Midlands Combined Authority, ENG, United Kingdom",,,,,,,Birmingham,ENG,,West Midlands Combined Authority,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Leigh, Greater Manchester, England (United Kingdom)",53.4960455,-2.5171495,"Leigh, WN7 4LA, United Kingdom",Leigh,,,WN7 4LA,,,Leigh,ENG,,Greater Manchester,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lowell, Massachusetts (United States of America)",42.6334247,-71.3161718,"Lowell, MA, United States of America",,,,,,,Lowell,MA,,Middlesex County,Massachusetts,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Norwich, Norfolk, England (United Kingdom)",52.628606,1.29227,"Norwich, Norfolk, ENG, United Kingdom",,,NFK,,,,Norwich,ENG,,Norfolk,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ballymena, Antrim, Northern Ireland (United Kingdom)",54.8662966,-6.2760159,"Ballymena, BT43 6AH, United Kingdom",Ballymena,,,BT43 6AH,,,Ballymena,NIR,,County Antrim,Northern Ireland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Washington, District of Columbia (United States of America)",38.8950368,-77.0365427,"Washington, DC, United States of America",,,,,,,Washington,DC,,,District of Columbia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sheffield, South Yorkshire, England (United Kingdom)",53.3806626,-1.4702278,"Sheffield, Yorkshire and the Humber, ENG, United Kingdom",,,,,,,Sheffield,ENG,,Yorkshire and the Humber,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Uxbridge, Ontario (Canada)",44.1088502,-79.1226768,"Uxbridge, ON, Canada",,,,,,,Uxbridge,ON,,Durham Region,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rheinland-Pfalz (Germany),49.9531599,7.310646,"Rhineland-Palatinate, Germany",,,,,,,,,,,Rhineland-Palatinate,Germany,de,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ontario (Canada),50.000678,-86.000977,"ON, Canada",,,,,,,,ON,,,Ontario,Canada,ca,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"San Diego, California (United States of America)",32.7174202,-117.1627728,"San Diego, CA, United States of America",,,,,,,San Diego,CA,,San Diego County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Provo, Utah (United States of America)",40.2337289,-111.6587085,"Provo, UT, United States of America",,,,,,,Provo,UT,,Utah County,Utah,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Río de Janeiro, Río de Janeiro (Brazil)",-22.9110137,-43.2093727,"Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Brazil",,,,,,,Rio de Janeiro,RJ,,Região Metropolitana do Rio de Janeiro,Rio de Janeiro,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Cardiff, Cardiff, Wales (United Kingdom)",51.4816546,-3.1791934,"Cardiff, CF, United Kingdom",Cardiff,,CRF,CF,,,Cardiff,WLS,,Cardiff,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Saint-Damase, Quebec (Canada)",45.526795,-73.008614,"Saint-Damase, QC J0H 1J0, Canada",,,,J0H 1J0,,,Saint-Damase,QC,,Les Maskoutains,Quebec,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Huntington Beach, California (United States of America)",33.6783336,-118.0000166,"Huntington Beach, CA, United States of America",,,,,,,Huntington Beach,CA,,Orange County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"San Antonio, Texas (United States of America)",29.4246002,-98.4951405,"San Antonio, TX, United States of America",,,,,,,San Antonio,TX,,Bexar County,Texas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Fond du Lac, Wisconsin (United States of America)",43.7748763,-88.4458033,"Fond du Lac, WI, United States of America",,,,,,,Fond du Lac,WI,,Fond du Lac County,Wisconsin,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
