,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
2090,Arnold Pastrick,,"Winnipeg, Manitoba (Canada)",,1958,Kurt Von Steiger,,,
2171,George Arnold McArthur,,"Montréal, Quebec (Canada)",28th March 1932,1953,George Cannon,1st July 1994,360 lbs. (163 kg),
3184,Hiromi Yaginuma,117 lbs. (53 kg) at 5'0'' (1.52 m),"Fukushima, Fukushima (Japan)",5th August 1971 (age 50),9th January 1994 (28 years ago),Hiromi Yagi ,,,
3256,Warren Francis Bockwinkel,240 lbs. (109 kg) at 6'0'' (1.83 m),"St. Louis, Missouri (United States of America)",21st May 1911,,Warren Bockwinkel,24th March 1986,,
3266,unknown,220 lbs. (100 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",31st October ???,,Gutter,,,
3374,unknown,209 lbs. (95 kg) at 6'1'' (1.85 m),"Grimsby, Lincolnshire, England (United Kingdom)",1978,,Lee Chaos,,,
3499,unknown,,Germany,,,Mr. Hollywood,,,
3581,Joseph Mark Scarpa Jr.,,,23rd April 1967,,Mark Scarpa,25th February 2016,,
3671,Blas Columba,216 lbs. (98 kg) at 5'9'' (1.75 m),"Matamoros, Tamaulipas (Mexico)",10th December 1968 (age 53),16th December 1986 (35 years ago),Violencia,,,
3854,Jason Anderson,243 lbs. (110 kg) at 5'10'' (1.78 m),"Calgary, Alberta (Canada)",16th December 1965 (age 56),??th February 1989,Jason Anderson,,,
3935,Philip Dodson,230 lbs. (104 kg) at 6'1'' (1.85 m),,,??th February 1997,Phil Davis,,,
4118,unknown,,United Kingdom,,,Thomas Chamberlain,,,
4179,unknown,226 lbs. (103 kg) at 6'2'' (1.88 m),Florida (United States of America),,,Shaun Tempers,,,
4399,Stefan Schwitter,198 lbs. (90 kg) at 5'11'' (1.80 m),Switzerland,7th September 1983 (age 38),21st April 2004 (17 years ago),Torment,,,
4411,James Carr,187 lbs. (85 kg) at 5'11'' (1.80 m),"London, Greater London, England (United Kingdom)",8th June 1983 (age 38),,Boris Koslov,,,
4444,Roland Bock,265 lbs. (120 kg) at 6'4'' (1.93 m),"Geislingen an der Steige, Baden-Württemberg (Germany)",3rd August 1944 (age 77),,Roland Bock,,,
4477,Juan José Ayala,187 lbs. (85 kg) at 5'11'' (1.80 m),"Guadalajara, Jalisco (Mexico)",6th June 1975 (age 46),17th March 1992 (29 years ago),Fabiruchis,,,
4516,Eugene Earl DuBuque,205 lbs. (93 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",11th December 1927,,Gene DuBuque,13th March 1974,,
4645,Christian Müller,162 lbs. (73 kg) at 5'9'' (1.75 m),"Mannheim, Baden-Württemberg (Germany)",,8th July 2000 (21 years ago),Flash Christian,,,
5021,unknown,229 lbs. (104 kg) at 6'1'' (1.85 m),"Glasgow, Glasgow, Scotland (United Kingdom)",,1998,Jack Jester,,,
5106,unknown,209 lbs. (95 kg) at 5'10'' (1.78 m),United States of America,1975,1995,Julius Smokes,,,
5779,Jordan McColl,215 lbs. (98 kg) at 5'10'' (1.78 m),"Glasgow, Glasgow, Scotland (United Kingdom)",21st November 1988 (age 33),27th February 2004 (18 years ago),Calder McColl,,,
5783,Robin Wilson,181 lbs. (82 kg) at 5'11'' (1.80 m),"Weston-super-Mare, Somerset, England (United Kingdom)",,,Robbie Everest,,,
5861,Víctor Manuel Góngora Cisneros,254 lbs. (115 kg) at 5'10'' (1.78 m),"Monclova, Coahuila de Zaragoza (Mexico)",23rd December 1950,24th February 1969 (53 years ago),Herodes,14th June 2020,,
5901,unknown,,"Nuevo Laredo, Tamaulipas (Mexico)",18th May 1997 (age 24),14th November 2010 (11 years ago),La Hiedra ,,,
6019,Michael DiBiase,230 lbs. (104 kg) at 6'0'' (1.83 m),"Omaha, Nebraska (United States of America)",24th December 1923,4th April 1950 (71 years ago),Mike DiBiase,2nd July 1969,,
6031,unknown,150 lbs. (68 kg) at 5'7'' (1.70 m),"Richmond, Virginia (United States of America)",,2001,Chris Silvio,,,
6121,unknown,208 lbs. (94 kg) at 6'0'' (1.83 m),"Santa Cruz, California (United States of America)",,,Billy Blade,,,
6150,Jason Cross,,"Cardiff, Cardiff, Wales (United Kingdom)",8th January 1974 (age 48),11th February 1989 (33 years ago),Jason Cross,,,
6537,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),,27th August 1929,1948,George Scott,20th January 2014,,
6712,Adam Baroni,207 lbs. (94 kg) at 5'8'' (1.73 m),"South Shields, Tyne and Wear, England (United Kingdom)",11th December 1978 (age 43),,Adam Brown,,,
6744,Demitros Stephanos Tzitzikas,208 lbs. (94 kg) at 5'10'' (1.78 m),"Houston, Texas (United States of America)",10th March 1917,1933,Jesse James,9th May 2000,,
7003,Charles Harris,,,,,Chris Colt,1996,,
7567,Mikhail Mazurwski,238 lbs. (108 kg) at 6'5'' (1.96 m),Ukraine,25th December 1907,,Mike Mazurki,9th December 1990,,
7763,unknown,214 lbs. (97 kg) at 5'11'' (1.80 m),Belgium,,,Bernard Vandamme,,,
9034,unknown,200 lbs. (91 kg) at 6'5'' (1.96 m),"San Diego, California (United States of America)",24th August 1982 (age 39),,Tommy Wilson,,,
9241,Volker Fischer,220 lbs. (100 kg) at 5'9'' (1.75 m),"Ludwigshafen am Rhein, Rheinland-Pfalz (Germany)",1st October 1977 (age 44),21st June 2008 (13 years ago),Bomber,,,
9382,Natasha ???,,"Banbury, Oxfordshire, England (United Kingdom)",20th January 1987 (age 35),,Chrissy V ,,,5'5'' (1.65 m)
9418,unknown,,"Newport, Monmouthshire, Wales (United Kingdom)",1983,,Edd Ferris,,,
9898,Jack Zaler,,"Syracuse, New York (United States of America)",,,Jack Meridol,25th January 2014,230 lbs. (104 kg),
10166,unknown,,United Kingdom,,,Sam Baxter,,,
10259,Jason Brilz,205 lbs. (93 kg) at 5'11'' (1.80 m),"Bismarck, North Dakota (United States of America)",7th July 1975 (age 46),2nd March 2000 (22 years ago),Jason Brilz,,,
10264,Mearion Shonie Bickhem III.,170 lbs. (77 kg) at 5'10'' (1.78 m),"Chicago, Illinois (United States of America)",3rd May 1972 (age 49),15th February 1997 (25 years ago),Shonie Carter,,,
10424,Zelg Galeic,185 lbs. (84 kg) at 6'2'' (1.88 m),Pula (Croatia),16th February 1979 (age 43),12th September 2004 (17 years ago),Zelg Galeic,,,
10560,Eliot Marshall,205 lbs. (93 kg) at 6'3'' (1.91 m),"Franklinville, New Jersey (United States of America)",7th July 1980 (age 41),11th February 2006 (16 years ago),Eliot Marshall,,,
10571,Rubén Díaz,,"San Mateo Atenco, Estado de México (Mexico)",20th October ???,2005,El Gemelo Fantastico #1,,,
10608,Billy Evangelista,155 lbs. (70 kg) at 5'8'' (1.73 m),"Parlier, California (United States of America)",7th October 1980 (age 41),13th January 2006 (16 years ago),Billy Evangelista,,,
10889,unknown,,United Kingdom,,,Shane Spyral,,,
10939,Jorge Santiago Rodrigues,170 lbs. (77 kg) at 6'1'' (1.85 m),"Río de Janeiro, Río de Janeiro (Brazil)",9th October 1980 (age 41),2nd December 2002 (19 years ago),Jorge Santiago,,,
11397,Matt Newton-Walters,203 lbs. (92 kg) at 5'10'' (1.78 m),"Hunstanton, Norfolk, England (United Kingdom)",13th April 1984 (age 37),2001,Ashe,,,
11763,unknown,230 lbs. (104 kg) at 6'2'' (1.88 m),"Montréal, Quebec (Canada)",22nd August 1985 (age 36),2000,Jay Phenomenon,,,
11793,Christopher Kenney,192 lbs. (87 kg) at 5'10'' (1.78 m),"Pittsburgh, Pennsylvania (United States of America)",,??th November 2003,Chris LeRusso,,,
11833,Jared Hamman,185 lbs. (84 kg) at 6'3'' (1.91 m),California (United States of America),7th March 1982 (age 40),29th April 2006 (15 years ago),Jared Hamman,,,
12407,Damacio James Page,135 lbs. (61 kg) at 5'6'' (1.68 m),"Albuquerque, New Mexico (United States of America)",30th September 1982 (age 39),5th February 2005 (17 years ago),Damacio Page,,,
12418,Lorenzo Joseph Fertitta,,United States of America,1st January 1969 (age 53),,Lorenzo Fertitta,,,
12660,Marius aromskis,170 lbs. (77 kg) at 5'9'' (1.75 m),akiai (Lithuania),30th July 1980 (age 41),27th November 2005 (16 years ago),Marius aromskis,,,
12677,Raphael O. Assunção,135 lbs. (61 kg) at 5'5'' (1.65 m),"Recife, Pernambuco (Brazil)",19th July 1982 (age 39),23rd January 2004 (18 years ago),Raphael Assunção,,,
14138,unknown,167 lbs. (76 kg) at 5'7'' (1.70 m),"Kasaoka, Okayama (Japan)",14th January 1984 (age 38),14th December 2003 (18 years ago),Yuya Susumu,,,
14259,unknown,,"Louisa, Virginia (United States of America)",1976,,Fatty McNasty,,,6'2'' (1.88 m)
15150,unknown,,,,,Bill Apter,,,
16015,Gil Elkin,230 lbs. (104 kg) at 6'2'' (1.88 m),United Kingdom,1987,,Axl Rage,,,
16344,Patricio Freire,145 lbs. (66 kg) at 5'5'' (1.65 m),"Natal, Rio Grande do Norte (Brazil)",7th July 1987 (age 34),9th March 2004 (18 years ago),Patricio Freire,,,
16556,Courtney Scott McGee,170 lbs. (77 kg) at 5'11'' (1.80 m),"Ogden, Utah (United States of America)",12th December 1984 (age 37),21st April 2007 (14 years ago),Court McGee,,,
16559,Rich Attonito,170 lbs. (77 kg) at 5'10'' (1.78 m),"Elizabeth, New Jersey (United States of America)",16th June 1977 (age 44),21st February 2004 (18 years ago),Rich Attonito,,,
17117,Roger Bowling,155 lbs. (70 kg) at 5'8'' (1.73 m),"Neville, Ohio (United States of America)",8th May 1982 (age 39),23rd June 2007 (14 years ago),Roger Bowling,,,
17393,Karel Vemola,185 lbs. (84 kg) at 6'0'' (1.83 m),Olomouc (Czech Republic),1st July 1985 (age 36),24th February 2008 (14 years ago),Karlos Vemola,,,
17907,unknown,,Puebla (Mexico),16th April ???,,Estigma,,,
18615,Roland Alexander,,"Hayward, California (United States of America)",7th March 1954,,Roland Alexander,5th November 2013,,5'7'' (1.70 m)
18750,Kenneth Stone,135 lbs. (61 kg) at 5'8'' (1.73 m),"Framingham, Massachusetts (United States of America)",,4th August 2007 (14 years ago),Ken Stone,,,
18987,Troy Magalhaes,282 lbs. (128 kg) at 6'6'' (1.98 m),"New York City, New York (United States of America)",8th April 1988 (age 33),22nd February 2009 (13 years ago),TJ Marconi,,,
20048,Chuck O'Neil,170 lbs. (77 kg) at 6'2'' (1.88 m),"Bourne, Massachusetts (United States of America)",,8th April 2006 (15 years ago),Chuck O'Neil,,,
20376,unknown,,United Kingdom,,,Jack Clarke,,,
20762,Jason Young,145 lbs. (66 kg) at 5'9'' (1.75 m),"London, Greater London, England (United Kingdom)",28th June 1986 (age 35),20th August 2006 (15 years ago),Jason Young,,,
20772,unknown,280 lbs. (127 kg) at 6'5'' (1.96 m),"Oneida Castle, New York (United States of America)",18th December ???,19th February 2010 (12 years ago),Punisher Van Slyke,,,
20773,unknown,185 lbs. (84 kg) at 5'10'' (1.78 m),"Watertown, New York (United States of America)",7th June ???,12th April 2008 (13 years ago),Jay Freddie,,,
21568,John Charles Bedford,135 lbs. (61 kg) at 5'10'' (1.78 m),"Fort Worth, Texas (United States of America)",6th January 1983 (age 39),23rd September 2006 (15 years ago),Johnny Bedford,,,
22562,Eita Kobayashi,159 lbs. (72 kg) at 5'7'' (1.70 m),"Nagano, Nagano (Japan)",27th October 1991 (age 30),26th January 2011 (11 years ago),Eita,,,
22762,Michael Jan Hugo Kuiper,185 lbs. (84 kg) at 6'1'' (1.85 m),"Rotterdam, Zuid-Holland (Netherlands)",7th June 1989 (age 32),14th February 2009 (13 years ago),Michael Kuiper,,,
22987,Seleziya Esho,135 lbs. (61 kg) at 5'5'' (1.65 m),"Los Angeles, California (United States of America)",1st January 1992 (age 30),4th June 2010 (11 years ago),Seleziya Sparx ,,,
23319,unknown,,United States of America,,,Tuffy,,,
23891,unknown,,United Kingdom,,,Marc Morgan,,,
26203,Brad Fox,240 lbs. (109 kg) at 6'7'' (2.01 m),"St. Louis, Missouri (United States of America)",7th April 1983 (age 38),6th April 2012 (9 years ago),Jake Dirden,,,
26919,unknown,172 lbs. (78 kg) at 5'7'' (1.70 m),,,2012,Andy Wu,,,
27147,Takumi Ayaha,143 lbs. (65 kg) at 5'7'' (1.70 m),"Fukuoka, Fukuoka (Japan)",4th January 1993 (age 29),29th April 2013 (8 years ago),Takumi Iroha ,,,
27664,Erika Ann Hammond,,,,17th October 2013 (8 years ago),Veronica Lane ,,,
28425,Anthony Greene,191 lbs. (87 kg) at 6'2'' (1.88 m),"Randolph, Massachusetts (United States of America)",23rd August 1993 (age 28),6th May 2012 (9 years ago),Anthony Greene,,,
28671,unknown,,"Toronto, Ontario (Canada)",,,KOBE Durst,,,
29647,unknown,,"London, Greater London, England (United Kingdom)",28th March 1991 (age 30),,Cieran Donnelly,,,6'0'' (1.83 m)
30379,Kaito Ishida,154 lbs. (70 kg) at 5'8'' (1.73 m),"Osaka, Osaka (Japan)",19th December 1995 (age 26),1st December 2014 (7 years ago),Kaito Ishida,,,
30623,Foxx Vinyer,,"Albany, New York (United States of America)",11th July 1985 (age 36),,Foxx Vinyer,,,
30884,Kiera Hogan,114 lbs. (52 kg) at 4'11'' (1.50 m),"Decatur, Georgia (United States of America)",16th September 1994 (age 27),17th April 2015 (6 years ago),Kiera Hogan ,,,
30953,unknown,227 lbs. (103 kg) at 6'1'' (1.85 m),Germany,28th July 1986 (age 35),19th March 2016 (5 years ago),Toni Harting,,,
30955,Felix Weber,220 lbs. (100 kg) at 5'9'' (1.75 m),"Berlin, Berlin (Germany)",17th April 1995 (age 26),3rd October 2015 (6 years ago),Felix Weber,,,
31044,unknown,,Japan,30th May 1998 (age 23),13th February 2016 (6 years ago),Mio Momono ,,,4'10'' (1.47 m)
31418,Ashley Medrano,114 lbs. (52 kg) at 5'3'' (1.60 m),"Providence, Rhode Island (United States of America)",,,Ashley Vox ,,,
31613,unknown,198 lbs. (90 kg) at 6'2'' (1.88 m),,,,TK Cooper,,,
31742,Hayabusa Watanabe,187 lbs. (85 kg) at 5'11'' (1.80 m),"Toki, Gifu (Japan)",30th May 1996 (age 25),21st December 2015 (6 years ago),Shun Skywalker,,,
32546,Nick Comoroto,273 lbs. (124 kg) at 6'3'' (1.91 m),"Blackwood, New Jersey (United States of America)",22nd April 1991 (age 30),2013,Nick Comoroto,,,
32588,unknown,,,,,Cornelius Crummels,,,
32659,Kenny Marquez,,"El Monte, California (United States of America)",5th October 1994 (age 27),6th August 2016 (5 years ago),Jake Atlas,,,
34348,Samantha DeMartin,139 lbs. (63 kg) at 5'9'' (1.75 m),"Melbourne, Victoria (Australia)",17th August 1996 (age 25),19th March 2016 (5 years ago),Indi Hartwell ,,,
34692,David Scott,,Ireland,3rd December 2000 (age 21),,Scotty Davis,,,
34956,unknown,251 lbs. (114 kg) at 6'1'' (1.85 m),"West Yorkshire, England (United Kingdom)",29th May 1988 (age 33),??th March 2016,Ridge Holland,,,
35163,Winona Makanji,,"Nottinghamshire, England (United Kingdom)",23rd June 1994 (age 27),,Kanji ,,,
35397,unknown,150 lbs. (68 kg) at 5'8'' (1.73 m),Iwate (Japan),28th May 1997 (age 24),24th December 2017 (4 years ago),Himeka ,,,
35819,Alex Brandenburg,185 lbs. (84 kg) at 6'1'' (1.85 m),"Lexington, Kentucky (United States of America)",28th October 1986 (age 35),??th January 2005,Alex Zayne,,,
107,Chyna,209 lbs. (95 kg) at 5'10'' (1.78 m),"Rochester, New York (United States of America)",27th December 1969,1995,Chyna ,17th April 2016,,
954,Scott D'Amore,243 lbs. (110 kg) at 5'10'' (1.78 m),"Windsor, Ontario (Canada)",8th August 1974 (age 47),13th June 1992 (29 years ago),Scott D'Amore,,,
53,Scott Carl Rechsteiner,276 lbs. (125 kg) at 6'1'' (1.85 m),"Bay City, Michigan (United States of America)",29th July 1962 (age 59),1986,Scott Steiner,,,
573,Tyson Moody,193 lbs. (88 kg) at 5'10'' (1.78 m),"Lyttleton, New Brunswick (Canada)",19th June 1978 (age 43),12th October 1996 (25 years ago),Tyson Dux,,,
252,Samula Anoa'i,295 lbs. (134 kg) at 6'4'' (1.93 m),"San Francisco, California (United States of America)",29th May 1966 (age 55),1981,Samu,,,
17398,Leati Joseph Anoa'i,265 lbs. (120 kg) at 6'3'' (1.91 m),"Pensacola, Florida (United States of America)",25th May 1985 (age 36),19th August 2010 (11 years ago),Roman Reigns,,,
320,Dean Mathew Roll,180 lbs. (82 kg) at 5'10'' (1.78 m),"Dayton, Ohio (United States of America)",12th August 1975 (age 46),3rd May 1997 (24 years ago),Shark Boy,,,
100,George Bernard Caiazzo,300 lbs. (136 kg) at 6'3'' (1.91 m),"Boston, Massachusetts (United States of America)",13th January 1969,1989,John Kronus,18th July 2007,,
260,Nathan J. Kehner,267 lbs. (121 kg) at 6'1'' (1.85 m),,,,Nate Hatred,1st September 2018,,
3110,Sergio Guzmán Silva,187 lbs. (85 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",8th October 1974 (age 47),1995,Tigre Blanco,,,
445,Theodore Long,160 lbs. (73 kg) at 5'10'' (1.78 m),"Atlanta, Georgia (United States of America)",15th September 1955 (age 66),1988,Theodore Long,,,
3664,unknown,183 lbs. (83 kg) at 5'9'' (1.75 m),"León de los Aldama, Guanajuato (Mexico)",9th December 1975 (age 46),10th May 1993 (28 years ago),Espíritu,,,
8456,Rory Gulak,155 lbs. (70 kg) at 6'0'' (1.83 m),"Philadelphia, Pennsylvania (United States of America)",18th April 1990 (age 31),14th June 2008 (13 years ago),Rory Gulak,,,
289,Robert Ruldolph Remus,300 lbs. (136 kg) at 6'4'' (1.93 m),"Detroit, Michigan (United States of America)",27th August 1948 (age 73),1972,Sgt. Slaughter,,,
6047,Tyler Kluttz,207 lbs. (94 kg) at 5'11'' (1.80 m),"Tega Cay, South Carolina (United States of America)",4th May 1984 (age 37),14th February 2008 (14 years ago),Brad Maddox,,,
11943,Jonathan Solofa Fatu,251 lbs. (114 kg) at 6'2'' (1.88 m),"San Francisco, California (United States of America)",22nd August 1985 (age 36),8th June 2007 (14 years ago),Jimmy Uso,,,
596,Benjamin Whitmer,230 lbs. (104 kg) at 6'2'' (1.88 m),"Owensboro, Kentucky (United States of America)",25th January 1978 (age 44),23rd January 2000 (22 years ago),BJ Whitmer,,,
2500,Arnold Skaaland,240 lbs. (109 kg) at 6'0'' (1.83 m),"White Plains, New York (United States of America)",21st January 1925,1946,Arnold Skaaland,13th March 2007,,
196,unknown,205 lbs. (93 kg) at 6'1'' (1.85 m),New Jersey (United States of America),,1998,Ric Blade,,,
666,Mikiko Futagami,145 lbs. (66 kg) at 5'4'' (1.63 m),"Yao, Osaka (Japan)",4th January 1969 (age 53),1st November 1990 (31 years ago),GAMI ,,,
2379,Isaac Harrop,294 lbs. (133 kg) at 6'0'' (1.83 m),"Bishop Auckland, Durham, England (United Kingdom)",8th August 1975 (age 46),,Iceman,,,
2389,Luciano Luprano,189 lbs. (86 kg) at 5'10'' (1.78 m),"Campobasso, Molise (Italy)",1st January 1985 (age 37),1999,Dan Paysan,,,
2901,unknown,179 lbs. (81 kg) at 5'7'' (1.70 m),"Nezahualcóyotl, Estado de México (Mexico)",17th October 1978 (age 43),13th October 1991 (30 years ago),Bengala,,,
4588,Byron Wilcott,255 lbs. (116 kg) at 6'6'' (1.98 m),"Miami, Florida (United States of America)",4th February 1981 (age 41),2004,Byron Wilcott,,,
19906,unknown,180 lbs. (82 kg) at 5'11'' (1.80 m),Ireland,,,Aaron Atari,,,
21370,Austin Spencer,193 lbs. (88 kg) at 6'0'' (1.83 m),"Vancouver, British Columbia (Canada)",,,Nick Rogers,,,
33328,Stephanie M. Cardona,,"Miami, Florida (United States of America)",3rd June 1992 (age 29),24th March 2016 (5 years ago),Red Velvet ,,,5'1'' (1.55 m)
2434,Hiroka Yaginuma,99 lbs. (45 kg) at 5'1'' (1.55 m),"Koriyama, Fukushima (Japan)",23rd September 1981 (age 40),18th September 2002 (19 years ago),Raven Hiroka ,,,
21692,Roland Ionas Bialke,243 lbs. (110 kg) at 6'3'' (1.91 m),"Berlin, Berlin (Germany)",5th January 1982 (age 40),9th October 2010 (11 years ago),Slinky,,,
615,Andrés Alejandro Palomeque González,211 lbs. (96 kg) at 5'11'' (1.80 m),"Villahermosa, Tabasco (Mexico)",1st July 1971,1984,Abismo Negro,22nd March 2009,,
1097,John T. Smith,235 lbs. (107 kg) at 6'2'' (1.88 m),"Philadelphia, Pennsylvania (United States of America)",,9th June 1990 (31 years ago),JT Smith,,,
7853,Thomas Clifford,245 lbs. (111 kg) at 6'0'' (1.83 m),"Worcestershire, England (United Kingdom)",9th June 1981 (age 40),,T-Bone,,,
15457,Peter Hernández,170 lbs. (77 kg) at 5'10'' (1.78 m),"Rancho Cucamonga, California (United States of America)",14th June 1989 (age 32),15th November 2008 (13 years ago),Peter Avalon,,,
904,Viviana Ochoa Barradas,128 lbs. (58 kg) at 5'5'' (1.65 m),"Zamora de Hidalgo, Michoacán de Ocampo (Mexico)",18th October 1977 (age 44),23rd March 1993 (28 years ago),Estrellita ,,,
11944,Joshua Samuel Fatu,228 lbs. (103 kg) at 6'1'' (1.85 m),"San Francisco, California (United States of America)",22nd August 1985 (age 36),8th June 2007 (14 years ago),Jey Uso,,,
1160,David Steven Taylor,256 lbs. (116 kg) at 6'3'' (1.91 m),"Queensbury, West Yorkshire, England (United Kingdom)",1st May 1957 (age 64),,Dave Taylor,,,
108,Accie Julius Connor,275 lbs. (125 kg) at 6'3'' (1.91 m),"Burlington, New Jersey (United States of America)",22nd October 1970 (age 51),??th February 1994,D'Lo Brown,,,
102,Francisco Pantoja Islas,215 lbs. (98 kg) at 5'8'' (1.73 m),"Tulancingo de Bravo, Hidalgo (Mexico)",3rd December 1973 (age 48),??th February 1988,Super Crazy,,,
12302,Joseph Robinson,220 lbs. (100 kg) at 6'3'' (1.91 m),"Joliet, Illinois (United States of America)",10th April 1989 (age 32),2008,Juice Robinson,,,
30204,Amanda Saccomanno,120 lbs. (54 kg) at 5'4'' (1.63 m),New York (United States of America),18th July 1991 (age 30),25th August 2015 (6 years ago),Mandy Rose ,,,
2529,Eric Schwarz,250 lbs. (113 kg) at 6'4'' (1.93 m),"Mainz, Rheinland-Pfalz (Germany)",20th January 1975 (age 47),,Eric Schwarz,,,
2623,Byron James John Robertson,255 lbs. (116 kg) at 6'2'' (1.88 m),"Kitchener, Ontario (Canada)",28th February 1939,,Dewey Robertson,16th August 2007,,
1662,Anthony García,245 lbs. (111 kg) at 6'1'' (1.85 m),"Auckland, Auckland (New Zealand)",20th September 1946 (age 75),1971,Tony Garea,,,
4368,Larry Weil,,New Jersey (United States of America),26th June 1950,6th July 1974 (47 years ago),Larry Sharpe,10th April 2017,260 lbs. (118 kg),
588,Danny Daniels,198 lbs. (90 kg) at 5'8'' (1.73 m),"Chicago, Illinois (United States of America)",,31st August 1997 (24 years ago),Danny Daniels,,,
1799,Bob Roop,270 lbs. (122 kg) at 6'1'' (1.85 m),"Blacksburg, Virginia (United States of America)",22nd July 1947 (age 74),1969,Bob Roop,,,
7942,unknown,169 lbs. (77 kg) at 5'5'' (1.65 m),"Berlin, Berlin (Germany)",13th February 1986 (age 36),26th July 2003 (18 years ago),Fabius Titus,,,
12007,Charles Donovan Kelley,245 lbs. (111 kg) at 6'0'' (1.83 m),"LaGrange, Georgia (United States of America)",7th March 1947 (age 75),,Chick Donovan,,,
15560,Catalina White,108 lbs. (49 kg) at 5'5'' (1.65 m),"Fort Lauderdale, Florida (United States of America)",22nd January 1986 (age 36),??th December 2008,Saylor James ,,,
669,Kayoko Haruyama,152 lbs. (69 kg) at 5'3'' (1.60 m),"Fukuoka, Fukuoka (Japan)",5th February 1979 (age 43),23rd January 1998 (24 years ago),Kayoko Haruyama ,,,
743,Masao Inoue,234 lbs. (106 kg) at 5'11'' (1.80 m),"Yamanashi, Yamanashi (Japan)",6th March 1970 (age 52),4th April 1991 (30 years ago),Masao Inoue,,,
1356,Takamichi Iwasa,194 lbs. (88 kg) at 6'2'' (1.88 m),"Sendai, Miyagi (Japan)",10th April 1978 (age 43),2nd September 2000 (21 years ago),Taku Iwasa,,,
1522,Ryoji Sai,234 lbs. (106 kg) at 6'3'' (1.91 m),"Osaka, Osaka (Japan)",3rd June 1980 (age 41),1st September 2001 (20 years ago),Ryoji Sai,,,
1938,unknown,135 lbs. (61 kg) at 5'7'' (1.70 m),"Montréal, Quebec (Canada)",27th August ???,??th March 2002,21st Century Fox ,,,
2057,Nobuyoshi Araya,260 lbs. (118 kg) at 6'1'' (1.85 m),"Chigasaki, Kanagawa (Japan)",7th March 1968 (age 54),26th July 1992 (29 years ago),Nobutaka Araya,,,
2301,Betty Wade-Murphy,121 lbs. (55 kg) at 5'4'' (1.63 m),"LaGrange, Georgia (United States of America)",4th February 1951 (age 71),1971,Joyce Grable ,,,
2502,Aykut Artan,235 lbs. (107 kg) at 6'2'' (1.88 m),"Berlin, Berlin (Germany)",,1998,Aykut Artan,,,
2789,Akihito Itahara,187 lbs. (85 kg) at 5'7'' (1.70 m),"Tokushima, Tokushima (Japan)",24th January 1969 (age 53),17th January 1990 (32 years ago),Flying Kid Ichihara,,,
3257,Pablo Rodríguez,246 lbs. (112 kg) at 5'10'' (1.78 m),"San Luis Potosí, San Luis Potosí (Mexico)",4th April 1944 (age 77),1968,El Sicodélico,,,
4749,unknown,171 lbs. (78 kg) at 5'8'' (1.73 m),"Elgin, Moray, Scotland (United Kingdom)",,,Falcon,,,
