,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
4134,unknown,245 lbs. (111 kg) at 5'11'' (1.80 m),,,,Tom Stone,,,
4614,Rainer Herrmann,242 lbs. (110 kg) at 5'11'' (1.80 m),"Ladenburg, Baden-Württemberg (Germany)",,13th December 1998 (23 years ago),Fireangel,,,
4751,Joaquín Roldan,,"Ciudad de México, Ciudad de México (Mexico)",3rd August ???,,Joaquín Roldan,8th April 2017,,
6513,unknown,275 lbs. (125 kg) at 6'4'' (1.93 m),"Camden, New Jersey (United States of America)",1977,2006,Bin Hamin,,,
7149,unknown,138 lbs. (63 kg) at 6'0'' (1.83 m),"Moskwa, Moskwa (Russia)",,,Valeriya,,,
8491,unknown,205 lbs. (93 kg) at 5'10'' (1.78 m),"Hamburg, Pennsylvania (United States of America)",28th January ???,,Billy Bax,,,
8806,unknown,205 lbs. (93 kg) at 6'0'' (1.83 m),Newfoundland and Labrador (Canada),,,T-Bone,,,
9015,John DiGiacomo,,,,,Jamison,,,
9962,Peter K. Sell,170 lbs. (77 kg) at 5'11'' (1.80 m),"West Islip, New York (United States of America)",5th August 1982 (age 39),28th June 2002 (19 years ago),Pete Sell,,,
16955,unknown,,"Dayton, Ohio (United States of America)",16th September 1987 (age 34),,Aaron Xtreme,,5'5'' (1.65 m),
17373,David Madeley,190 lbs. (86 kg) at 6'0'' (1.83 m),"Prince George, British Columbia (Canada)",,??th January 2009,Adam Ryder,,,
2426,Matthew Ramón Barela,225 lbs. (102 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",12th March 1974 (age 47),1999,Anarquia,,,
2670,Edwin Steinblock,326 lbs. (148 kg) at 6'6'' (1.98 m),"Lilienthal, Niedersachsen (Germany)",16th December 1955,,Eddy Steinblock,9th November 2017,,
7189,Christopher DeJosephs,,"Las Vegas, Nevada (United States of America)",,,Big Dick Johnson,,5'7'' (1.70 m),
776,Juan Alvarado Nieves,253 lbs. (115 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",30th July 1961,??th August 1980,El Brazo,15th October 2013,,
965,Robert Smedley,237 lbs. (108 kg) at 6'1'' (1.85 m),"Ashland, Kentucky (United States of America)",25th June 1963 (age 58),11th September 1988 (33 years ago),Bobby Blaze,,,
2875,Arturo Sánchez Muñoz,231 lbs. (105 kg) at 5'11'' (1.80 m),Mexico,,,La Bestia del Ring,,,
12344,Tamara Rubí Barrón García,132 lbs. (60 kg) at 5'3'' (1.60 m),Jalisco (Mexico),30th March 1989 (age 32),??th May 2007,La Magnifica ,,,
2894,René Gómez Espinoza,190 lbs. (86 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",9th September 1976 (age 45),1997,El Intocable,,,
797,Vanessa Sánchez,120 lbs. (54 kg) at 5'4'' (1.63 m),"Kansas City, Missouri (United States of America)",21st January 1971 (age 51),??th June 1998,Vanessa Sánchez ,,,
1181,Isao Takagi,309 lbs. (140 kg) at 6'3'' (1.91 m),"Moriguchi, Osaka (Japan)",8th November 1961 (age 60),31st March 1987 (34 years ago),Arashi,,,
1562,Peter Smith,320 lbs. (145 kg) at 6'8'' (2.03 m),"Cole Harbour, Nova Scotia (Canada)",5th August 1967 (age 54),1997,Brody Steele,,,
11961,Gilbert Ramon Yvel,250 lbs. (113 kg) at 6'2'' (1.88 m),"Amsterdam, Noord-Holland (Netherlands)",30th June 1976 (age 45),2nd February 1997 (25 years ago),Gilbert Yvel,,,
793,Rodney Lienhardt,240 lbs. (109 kg) at 6'0'' (1.83 m),"Rutherford, New Jersey (United States of America)",1st January 1971 (age 51),22nd March 1999 (22 years ago),Rodney,,,
2186,Juanita Wright,155 lbs. (70 kg) at 5'2'' (1.57 m),"St. Louis, Missouri (United States of America)",24th October 1938,,Sapphire ,11th September 1996,,
2129,Dwain McCullough,400 lbs. (181 kg) at 6'4'' (1.93 m),"Dallas, Texas (United States of America)",5th January 1958,??th July 1990,Awesome Kong,17th November 2012,,
435,Jeffrey T. Farmer,265 lbs. (120 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",14th August 1962 (age 59),1991,Super J,,,
1030,Daniel Puder,235 lbs. (107 kg) at 6'3'' (1.91 m),"Cupertino, California (United States of America)",9th October 1981 (age 40),6th September 2003 (18 years ago),Daniel Puder,,,
1737,RJ Carrington,297 lbs. (135 kg) at 6'3'' (1.91 m),"Parkville, Maryland (United States of America)",5th August 1976,6th October 1997 (24 years ago),RJ Meyer,16th November 2020,,
4765,Juan Manuel Mar,,Mexico,,1976,Pánico,,,
14253,unknown,,,,,Angelo Mosca Jr.,,,
16452,Peter Durrett,231 lbs. (105 kg) at 6'3'' (1.91 m),"Victoria, British Columbia (Canada)",22nd October 1983 (age 38),??th April 2008,Pete Powers,,,
16532,Aaron Gainey,,"Philadelphia, Pennsylvania (United States of America)",,,Maifu,??th August 2017,,439 lbs. (199 kg)
16533,unknown,,"Philadelphia, Pennsylvania (United States of America)",,,Saifu,,,419 lbs. (190 kg)
17335,Mark Feuerstein,,"New York City, New York (United States of America)",8th June 1971 (age 50),14th June 2010 (11 years ago),Mark Feuerstein,,,
24246,unknown,,,24th March 1939 (age 82),,Jim Herd,,,
649,Stacy Cvjetkovich,105 lbs. (48 kg) at 5'3'' (1.60 m),"Memphis, Tennessee (United States of America)",29th September 1971 (age 50),1998,Stacy Carter ,,,
462,Richard Bogner,272 lbs. (123 kg) at 6'6'' (1.98 m),"Calgary, Alberta (Canada)",16th January 1970,6th November 1989 (32 years ago),Big Titan,20th September 2019,,
2657,Jonathan de Jesús Navarro Jiménez,183 lbs. (83 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",25th August 1982 (age 39),6th August 1999 (22 years ago),Mictlán,,,
2130,Jeff Roth,202 lbs. (92 kg) at 5'11'' (1.80 m),"Fort Lauderdale, Florida (United States of America)",,,Schmuck Dudley,,,
589,Kevin Patrick Wacholz,271 lbs. (123 kg) at 6'5'' (1.96 m),"Bloomington, Minnesota (United States of America)",17th April 1958 (age 63),1981,Nailz,,,
15889,Timothy Zachary Mosley,,"Virginia Beach, Virginia (United States of America)",10th March 1971 (age 51),,Timbaland,,,
2503,Pascal Signer,231 lbs. (105 kg) at 5'11'' (1.80 m),"Wil, St. Gallen (Switzerland)",9th August 1981 (age 40),??th April 1999,SigMasta Rappo,,,
3277,Jeff Warner,290 lbs. (132 kg) at 6'5'' (1.96 m),"Minneapolis, Minnesota (United States of America)",9th September 1965 (age 56),1989,Jeff Warner,,,
193,unknown,240 lbs. (109 kg) at 6'1'' (1.85 m),"Brick Township, New Jersey (United States of America)",,1996,Bilvis Wesley,,,
1088,Jeff Mott,190 lbs. (86 kg) at 6'3'' (1.91 m),"Tijuana, Baja California (Mexico)",,??th February 2000,Oman Tortuga,,,
1407,Cody Washington,289 lbs. (131 kg) at 6'10'' (2.08 m),"Victoria, British Columbia (Canada)",,20th September 2001 (20 years ago),The Cremator,,,
2814,Mario Jiménez León,220 lbs. (100 kg) at 5'9'' (1.75 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",17th December 1967 (age 54),10th June 1984 (37 years ago),Coco Rojo,,,
5771,Nikhil ???,190 lbs. (86 kg) at 5'8'' (1.73 m),"Wolverhampton, West Midlands, England (United Kingdom)",25th October 1984 (age 37),,Nik Bali,,,
6798,unknown,,"Heacham, Norfolk, England (United Kingdom)",7th September 1984 (age 37),,Cougar Kid,,5'9'' (1.75 m),
15869,Jonathan Joseph Heder,,"Fort Collins, Colorado (United States of America)",26th October 1977 (age 44),18th January 2010 (12 years ago),Jon Heder,,,
3359,Dean Allmark,180 lbs. (82 kg) at 5'9'' (1.75 m),"Stoke-on-Trent, Staffordshire, England (United Kingdom)",25th August 1983 (age 38),21st January 2000 (22 years ago),Dean Allmark,,,
2212,William Danenhauer,250 lbs. (113 kg) at 6'6'' (1.98 m),"Omaha, Nebraska (United States of America)",1st December 1957 (age 64),1990,Dave Sullivan,,,
329,Linda Miles,150 lbs. (68 kg) at 6'0'' (1.83 m),"Cincinnati, Ohio (United States of America)",28th August 1978 (age 43),2002,Shaniqua ,,,
7400,Paul P. Fuchs III.,,"New York City, New York (United States of America)",1975,,Paul E. Normous,16th January 2009,6'6'' (1.98 m),
284,unknown,220 lbs. (100 kg) at 5'9'' (1.75 m),"Vancouver, British Columbia (Canada)",9th September 1970 (age 51),1998,Shannon Ballard,,,
4150,Jeanie Clark,,"Brentwood, Essex, England (United Kingdom)",4th April 1959 (age 62),1979,Jeanie Clark ,,,
28657,Christopher Melendez,232 lbs. (105 kg) at 6'3'' (1.91 m),"New York City, New York (United States of America)",13th June 1987 (age 34),6th August 2014 (7 years ago),Chris Melendez,,,
1668,Robert L. Horne,285 lbs. (129 kg) at 6'1'' (1.85 m),"New York City, New York (United States of America)",13th April 1955 (age 66),1991,Mo,,,
211,Janet Romano,130 lbs. (59 kg) at 5'4'' (1.63 m),"Huntington Beach, California (United States of America)",10th December 1977 (age 44),31st July 1999 (22 years ago),Lizzy Borden ,,,
9262,Gerhard Hradil,223 lbs. (101 kg) at 5'11'' (1.80 m),"Wien, Wien (Austria)",1964,,Humungus,,,
3755,Lori Fullington,,"Philadelphia, Pennsylvania (United States of America)",17th May 1967 (age 54),1989,Lori Fullington ,,,
1746,unknown,189 lbs. (86 kg) at 5'7'' (1.70 m),"Guadalajara, Jalisco (Mexico)",25th October 1978 (age 43),5th November 1999 (22 years ago),Rayman,,,
4750,Dorian Roldan,,Mexico,15th October 1984 (age 37),,Dorian Roldan,,,
10630,Peter Stilsbury,,Victoria (Australia),4th February 1958 (age 64),,Outback Jack,,,
28871,unknown,254 lbs. (115 kg) at 6'3'' (1.91 m),"Berlin, Berlin (Germany)",13th February 1992 (age 30),??th September 2014,Ronaldo Shaqiri,,,
167,David Lee Abbott,250 lbs. (113 kg) at 6'0'' (1.83 m),"Huntington Beach, California (United States of America)",26th April 1965 (age 56),14th July 1995 (26 years ago),Tank Abbott,,,
6297,Chase Tatum,265 lbs. (120 kg) at 6'3'' (1.91 m),Georgia (United States of America),1973,1998,Chase Tatum,23rd March 2008,,
27547,Natalie Marie Coyle,125 lbs. (57 kg) at 5'8'' (1.73 m),"Walnut Creek, California (United States of America)",19th September 1984 (age 37),1st July 2013 (8 years ago),Eva Marie ,,,
12447,Dante Daniel Bonaduce,,"Broomall, Pennsylvania (United States of America)",13th August 1959 (age 62),,Danny Bonaduce,,,
2271,Mitsuhide Hirasawa,220 lbs. (100 kg) at 6'1'' (1.85 m),"Sapporo, Hokkaido (Japan)",27th March 1982 (age 39),28th January 2006 (16 years ago),Bone Soldier,,,
5474,Jonathan Dalton,,"Danville, Virginia (United States of America)",11th March 1974 (age 47),1998,Jonny Fairplay,,,130 lbs. (59 kg)
17334,Orville Willis Forte IV.,,"Alameda, California (United States of America)",17th June 1970 (age 51),19th April 2010 (11 years ago),MacGruber,,,
2348,Emilio Fabián Fernández de León,198 lbs. (90 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",24th January 1972,1994,Fabián el Gitano,17th March 2011,,
4359,Florencio Díaz Bolaños,185 lbs. (84 kg) at 5'10'' (1.78 m),"Torreón, Coahuila de Zaragoza (Mexico)",27th October 1962 (age 59),16th March 1987 (34 years ago),May Flowers,,,
1779,unknown,254 lbs. (115 kg) at 6'1'' (1.85 m),"Guadalajara, Jalisco (Mexico)",1st January 1960 (age 62),28th November 1975 (46 years ago),Rayo de Jalisco Jr.,,,
3265,Michael Santoni Jr.,345 lbs. (156 kg) at 6'8'' (2.03 m),,,,Big Guido,,,
1411,James Tilquist,355 lbs. (161 kg) at 6'3'' (1.91 m),,,,Big Rocco,,,
16472,Adam W. Gooch,,,7th December 1981 (age 40),,Adam Gooch,,,
3735,Eugenio Torres Villarreal,200 lbs. (91 kg) at 6'1'' (1.85 m),"Monterrey, Nuevo León (Mexico)",13th July 1964 (age 57),2003,Konan Big,,,
647,Adolfo Bermudez,290 lbs. (132 kg) at 5'11'' (1.80 m),United States of America,,1992,Dances with Dudley,,,
1855,unknown,240 lbs. (109 kg) at 6'5'' (1.96 m),"Roswell, Georgia (United States of America)",13th August 1967 (age 54),,Chad Fortune,,,
2951,Rick Taras,320 lbs. (145 kg) at 6'3'' (1.91 m),Manitoba (Canada),6th July 1964 (age 57),1982,Leatherface,,,
16783,Gerald Norman,,"London, Greater London, England (United Kingdom)",13th February 1944 (age 78),,Jerry Springer,,,
2298,Lawrence Boyer,225 lbs. (102 kg) at 5'10'' (1.78 m),"Phoenix, Arizona (United States of America)",,2002,Kimo,,,
2592,unknown,240 lbs. (109 kg) at 5'9'' (1.75 m),"Edmonton, Alberta (Canada)",13th December 1974 (age 47),,Johnny Handsome,,,
3733,unknown,,San Juan (Puerto Rico),1st January 1941 (age 81),,Manuel Soto,,,
4592,unknown,220 lbs. (100 kg) at 6'0'' (1.83 m),"Bremen, Bremen (Germany)",,,Machine,,,
5366,Munraj Sahota,229 lbs. (104 kg) at 6'1'' (1.85 m),"Calgary, Alberta (Canada)",,2003,Gama Singh Jr.,,,
10066,unknown,,"Erie, Pennsylvania (United States of America)",,2004,Aaron Draven,,,
22757,Ivan Flores,,Mexico,30th January 1996 (age 26),2011,El Niño Hamburguesa,,,
6421,Gary Fletcher,600 lbs. (272 kg) at 6'4'' (1.93 m),"Columbia, New Hampshire (United States of America)",15th September 1940,1967,Man Mountain Mike,30th April 1988,,
17184,Christian Ramones Moreno,,Mexico,15th May 1982 (age 39),26th August 2007 (14 years ago),Quinto Misterio,,5'5'' (1.65 m),
17462,Bay Ragni,,,25th April 1970 (age 51),,Chubby Dudley,,,
283,unknown,200 lbs. (91 kg) at 5'9'' (1.75 m),"Vancouver, British Columbia (Canada)",9th September 1970 (age 51),1998,Shane Ballard,,,
2216,Ian Harrison,300 lbs. (136 kg) at 6'2'' (1.88 m),United Kingdom,,,Ian Harrison,,,
3386,Murray Cairns,298 lbs. (135 kg) at 5'10'' (1.78 m),Canada,18th September 1976 (age 45),3rd October 1997 (24 years ago),Moondog Manson,,,
8496,unknown,195 lbs. (88 kg) at 5'8'' (1.73 m),San Juan (Puerto Rico),16th June 1982 (age 39),,John Kermon,,,
29646,unknown,250 lbs. (113 kg) at 6'5'' (1.96 m),"Gloucester, Gloucestershire, England (United Kingdom)",,,Charlie Garrett,,,
1114,unknown,400 lbs. (181 kg) at 6'1'' (1.85 m),"Kilgore, Texas (United States of America)",25th August 1972 (age 49),23rd August 1989 (32 years ago),Mason the Mangler,,,
1116,Aaron Daniel Proctor,170 lbs. (77 kg) at 6'3'' (1.91 m),"Philadelphia, Pennsylvania (United States of America)",11th July ???,28th May 1998 (23 years ago),Aaron Proctor,,,
1962,Mark Mest,384 lbs. (174 kg) at 6'0'' (1.83 m),"Boyertown, Pennsylvania (United States of America)",3rd July 1973 (age 48),28th July 1991 (30 years ago),Mark Mest,,,
5504,Beate Kavka,128 lbs. (58 kg) at 5'4'' (1.63 m),"Wien, Wien (Austria)",,2001,Bea Strong ,,,
5912,unknown,205 lbs. (93 kg) at 5'6'' (1.68 m),,,1996,Crazy Ivan,,,
6827,unknown,148 lbs. (67 kg) at 6'3'' (1.91 m),"Odense, Syddanmark (Denmark)",3rd January 1989 (age 33),2003,Raptor,,,
10034,unknown,,,,,Mike Moore,,,
10419,unknown,,,,,Abdul Kader,,,
11791,unknown,205 lbs. (93 kg) at 6'1'' (1.85 m),"McKeesport, Pennsylvania (United States of America)",,,JR Mega,,,
14817,Michael Falls,195 lbs. (88 kg) at 6'2'' (1.88 m),"Durham, Durham, England (United Kingdom)",9th May 1983 (age 38),18th September 2009 (12 years ago),Mick Falls,,,
2146,Oziel Toscano Husso,186 lbs. (84 kg) at 5'9'' (1.75 m),"Monterrey, Nuevo León (Mexico)",20th December 1973 (age 48),13th October 1993 (28 years ago),Toscano,,,
1649,Alfred Dobalo,280 lbs. (127 kg) at 6'4'' (1.93 m),"Tampa, Florida (United States of America)",15th October 1955,1989,Al Green,14th June 2013,,
7965,Mark Madden,,"Pittsburgh, Pennsylvania (United States of America)",29th December 1960 (age 61),1990,Mark Madden,,,
1147,Michael Halac,401 lbs. (182 kg) at 6'3'' (1.91 m),United States of America,14th May 1968 (age 53),9th November 1991 (30 years ago),Mantaur,,,
166,Shawn Emile Stipich,242 lbs. (110 kg) at 6'2'' (1.88 m),"Oakville, Ontario (Canada)",21st July 1970 (age 51),1996,Shawn Stasiak,,,
4611,Lázaro Gurrola Gallegos,,"Monterrey, Nuevo León (Mexico)",14th March 1986 (age 35),,Estrella Dorada Jr.,,5'11'' (1.80 m),
11683,unknown,120 lbs. (54 kg) at 4'11'' (1.50 m),"Nezahualcóyotl, Estado de México (Mexico)",22nd April 1992 (age 29),29th February 2008 (14 years ago),Crazy Star ,,,
790,Paulo César da Silva,403 lbs. (183 kg) at 7'3'' (2.21 m),"São Paulo, São Paulo (Brazil)",21st July 1963 (age 58),1998,Giant Silva,,,
15926,unknown,,"Antwerpen, Antwerpen, Vlaanderen (Belgium)",1932,,Al Bastian,,,
3297,Brooke Ellen Bollea,,"Tampa, Florida (United States of America)",5th May 1988 (age 33),,Brooke Hogan ,,,
4344,Thomas Weber,240 lbs. (109 kg) at 5'9'' (1.75 m),"Kirchen (Sieg), Rheinland-Pfalz (Germany)",20th September 1975 (age 46),,Thomas Blade,,,
2627,Dale Wolfe,242 lbs. (110 kg) at 6'1'' (1.85 m),"San Antonio, Texas (United States of America)",18th July ???,??th July 1982,Dusty Wolfe,,,
5171,Juana Barraza Samperio,,Mexico,,,La Dama del Silencio,,5'9'' (1.75 m),
1251,Robert Alexander Swenson Jr.,400 lbs. (181 kg) at 6'0'' (1.83 m),"San Antonio, Texas (United States of America)",5th January 1957,,Ultimate Solution,19th August 1997,,
2251,Andre Verdun,185 lbs. (84 kg) at 5'11'' (1.80 m),"Ventura, California (United States of America)",25th October 1981 (age 40),2000,Andre Verdun,,,
425,unknown,290 lbs. (132 kg) at 5'11'' (1.80 m),"Louisville, Kentucky (United States of America)",,1997,Mitch Page,,,
19345,Yoshiko Hirano,154 lbs. (70 kg) at 5'3'' (1.60 m),"Tokyo, Tokyo (Japan)",26th July 1993 (age 28),12th January 2011 (11 years ago),YOSHIKO ,,,
997,Sharmell Sullivan-Huffman,127 lbs. (58 kg) at 5'7'' (1.70 m),"Gary, Indiana (United States of America)",2nd November 1974 (age 47),1998,Sharmell ,,,
162,Rick Cornell,240 lbs. (109 kg) at 6'0'' (1.83 m),"Buffalo, Iowa (United States of America)",,1999,Reno,,,
4580,Aurora Reina,120 lbs. (54 kg) at 5'5'' (1.65 m),"Vancouver, British Columbia (Canada)",2nd September 1982 (age 39),18th September 2004 (17 years ago),Goddess ,,,
1172,Eric Kulas,,"Cranston, Rhode Island (United States of America)",,,Mass Transit,12th May 2002,,
7496,Terrance P. Joyal,,"Montréal, Quebec (Canada)",9th April 1937,,Terry Garvin,18th August 1998,,
3225,Linda Marie Edwards-McMahon,,"New Bern, North Carolina (United States of America)",4th October 1948 (age 73),1999,Linda McMahon ,,,
4355,Martha García Mejía,229 lbs. (104 kg) at 5'0'' (1.52 m),"Ciudad de México, Ciudad de México (Mexico)",30th May 1962 (age 59),9th September 1979 (42 years ago),Martha Villalobos ,,,
9866,Gloria Sahari Alvarado Nava,209 lbs. (95 kg) at 5'11'' (1.80 m),Mexico,4th May 1987 (age 34),8th November 2006 (15 years ago),Goya Kong ,,,
859,Thomas Lister Jr.,300 lbs. (136 kg) at 6'5'' (1.96 m),"Compton, California (United States of America)",24th June 1958,25th April 1989 (32 years ago),Thomas Lister Jr.,10th December 2020,,
1207,Chad Wicks,205 lbs. (93 kg) at 5'9'' (1.75 m),"Mason City, Iowa (United States of America)",6th March 1978 (age 44),2001,Chad Dick,,,
6903,Michael Stanco,606 lbs. (275 kg) at 6'0'' (1.83 m),"Newark, New Jersey (United States of America)",2nd August 1968,,Maximum Capacity,21st August 2014,,
854,Brian Mailhot,260 lbs. (118 kg) at 6'4'' (1.93 m),"Portland, Maine (United States of America)",12th August 1975 (age 46),2000,Brian Mailhot,,,
7452,Ed Toscano,,,,1997,Havok,??th May 2021,,
13817,unknown,235 lbs. (107 kg) at 6'2'' (1.88 m),Tennessee (United States of America),1964,1986,JT Southern,,,
17474,Rogelio Espinoza López,,"Torreón, Coahuila de Zaragoza (Mexico)",,2006,Pequeño Halcón,,,
27841,unknown,,"Murfreesboro, Tennessee (United States of America)",,,Dewey Barnes,,,
9655,Ed Ferrara,209 lbs. (95 kg) at 5'11'' (1.80 m),United States of America,22nd November 1966 (age 55),,Ed Ferrara,,,
2120,José de Jesús Alvarez Gutiérrez,179 lbs. (81 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",2nd June 1978 (age 43),8th December 1993 (28 years ago),Joe Líder,,,
17408,Sara Chirie Calaway,,"Long Beach, California (United States of America)",21st July 1977 (age 44),2001,Sara ,,5'10'' (1.78 m),
10053,Jonathan Howard Cena,,,,,Johnny Fabulous,,,
975,Steven Douglas McMichael,270 lbs. (122 kg) at 6'2'' (1.88 m),"Houston, Texas (United States of America)",17th October 1957 (age 64),1996,Steve McMichael,,,
2119,unknown,203 lbs. (92 kg) at 5'9'' (1.75 m),"Tulancingo de Bravo, Hidalgo (Mexico)",30th March 1978 (age 43),1996,Crazy Boy,,,
1933,Jaime Dauncey,190 lbs. (86 kg) at 5'10'' (1.78 m),"Windsor, Ontario (Canada)",20th November ???,??th January 2003,Isis ,,,
7440,unknown,331 lbs. (150 kg) at 6'3'' (1.91 m),"Biloxi, Mississippi (United States of America)",22nd May 1985 (age 36),2004,Super Oprah Mustafa,,,
1606,Joe Muraco,220 lbs. (100 kg) at 6'5'' (1.96 m),Hawaii (United States of America),11th October 1986 (age 35),2004,Joe Muraco,,,
2179,Aaron Schmit,155 lbs. (70 kg) at 5'10'' (1.78 m),"Georgetown, Illinois (United States of America)",15th June 1989 (age 32),??th July 2005,Aaron Matthews,,,
11525,unknown,198 lbs. (90 kg) at 5'10'' (1.78 m),"Saltillo, Coahuila de Zaragoza (Mexico)",25th July 1977 (age 44),??th July 2003,Diva Salvaje,,,
23120,James Riley,208 lbs. (94 kg) at 6'1'' (1.85 m),"New York City, New York (United States of America)",,,Rude Boy Riley,,,
1406,Dean Fiske,275 lbs. (125 kg) at 6'3'' (1.91 m),"Pittsburgh, Pennsylvania (United States of America)",,1998,Dean Jablonski,,,
12987,"José Canseco Capas, Jr.",250 lbs. (113 kg) at 6'2'' (1.88 m),La Habana (Cuba),2nd July 1964 (age 57),26th May 2009 (12 years ago),José Canseco,,,
591,Christine Marie Wolf,150 lbs. (68 kg) at 5'3'' (1.60 m),"Daytona Beach, Florida (United States of America)",17th April 1966 (age 55),??th April 1999,Asya ,,,
17521,unknown,215 lbs. (98 kg) at 5'10'' (1.78 m),Canada,,,Nazi Destructor,,,
7898,Antonio Barichievich,465 lbs. (211 kg) at 6'4'' (1.93 m),Zagreb (Croatia),10th October 1925,,The Great Antonio,7th September 2003,,
32556,Miranda Ilissa,,"Houston, Texas (United States of America)",26th May 1994 (age 27),26th July 2014 (7 years ago),Miranda Alize ,,5'1'' (1.55 m),
9260,unknown,480 lbs. (218 kg) at 5'11'' (1.80 m),"London, Greater London, England (United Kingdom)",,,Big Bully Briscoe,,,
9470,Stephen Nathaniel Ketcher,280 lbs. (127 kg) at 6'1'' (1.85 m),,20th September 1957,,Steve Gatorwolf,2017,,
2758,Christopher T. Duffy,230 lbs. (104 kg) at 6'1'' (1.85 m),,1965,,Chris Duffy,25th August 2000,,
3214,unknown,,,,,Roy Raymond,,,
5590,John Kirkham,360 lbs. (163 kg) at 6'2'' (1.88 m),United Kingdom,26th January 1971 (age 51),,GBH,,,
8303,unknown,181 lbs. (82 kg) at 5'9'' (1.75 m),"Athens, Georgia (United States of America)",,,Nigel Sherrod,,,
