,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
25690,Yuka Yasukawa,126 lbs. (57 kg) at 5'4'' (1.63 m),"Misawa, Aomori (Japan)",13th November 1986 (age 35),5th February 2012 (10 years ago),Act Yasukawa ,,,
6443,Jay Dee Penn,170 lbs. (77 kg) at 5'9'' (1.75 m),"Kailua, Hawaii (United States of America)",13th December 1978 (age 43),4th May 2001 (20 years ago),BJ Penn,,,
3215,Emi Motokawa,154 lbs. (70 kg) at 5'1'' (1.55 m),"Kimitsu, Chiba (Japan)",4th October 1976 (age 45),17th August 1995 (26 years ago),Emi Sakura ,,,
9402,John Michael McCarthy,240 lbs. (109 kg) at 6'4'' (1.93 m),"Los Angeles, California (United States of America)",12th October 1962 (age 59),11th March 1994 (27 years ago),John McCarthy,,,
132,Darren Kenneth Matthews,247 lbs. (112 kg) at 6'4'' (1.93 m),"Codsall, Staffordshire, England (United Kingdom)",10th May 1968 (age 53),??th August 1983,William Regal,,,
2558,unknown,172 lbs. (78 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",12th February 1987 (age 35),2005,Felino Jr.,,,
373,Rodolfo Guzmán Huerta,209 lbs. (95 kg) at 5'9'' (1.75 m),"Tulancingo de Bravo, Hidalgo (Mexico)",23rd September 1917,28th June 1934 (87 years ago),El Santo,5th February 1984,,
971,Shingo Takagi,209 lbs. (95 kg) at 5'10'' (1.78 m),"Yamanashi, Yamanashi (Japan)",21st November 1982 (age 39),3rd October 2004 (17 years ago),Shingo Takagi,,,
1515,Taiji Ishimori,165 lbs. (75 kg) at 5'4'' (1.63 m),"Tagajo, Miyagi (Japan)",10th February 1983 (age 39),11th May 2002 (19 years ago),Taiji Ishimori,,,
19635,Chris Weidman,185 lbs. (84 kg) at 6'2'' (1.88 m),"Baldwin, New York (United States of America)",17th June 1984 (age 37),20th February 2009 (13 years ago),Chris Weidman,,,
6309,Tommaso Whitney,201 lbs. (91 kg) at 5'11'' (1.80 m),"Boston, Massachusetts (United States of America)",8th May 1985 (age 36),9th February 2005 (17 years ago),Tommaso Ciampa,,,
487,Robert Goodwin,192 lbs. (87 kg) at 6'1'' (1.85 m),United States of America,11th September 1981 (age 40),25th May 2002 (19 years ago),Hallowicked,,,
287,Richard Erwin Rood,251 lbs. (114 kg) at 6'3'' (1.91 m),"Robbinsdale, Minnesota (United States of America)",7th December 1958,16th August 1982 (39 years ago),Rick Rude,20th April 1999,,
5454,unknown,170 lbs. (77 kg) at 5'7'' (1.70 m),,,,Ophidian,,,
44,Scott Oliver Hall,280 lbs. (127 kg) at 6'7'' (2.01 m),"Miami, Florida (United States of America)",20th October 1958 (age 63),??th October 1984,Scott Hall,,,
4460,Fernando Montés Martínez,183 lbs. (83 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",17th April 1974 (age 47),1997,Fierro,,,
16906,Herb Dean,205 lbs. (93 kg) at 6'1'' (1.85 m),"Pasadena, California (United States of America)",30th September 1970 (age 51),9th September 2001 (20 years ago),Herb Dean,,,
17063,Rickson Gracie,185 lbs. (84 kg) at 5'8'' (1.73 m),"Río de Janeiro, Río de Janeiro (Brazil)",20th November 1958 (age 63),25th April 1980 (41 years ago),Rickson Gracie,,,
1890,Henry Clayton,200 lbs. (91 kg) at 5'9'' (1.75 m),"Madison, Wisconsin (United States of America)",24th May 1860,??th May 1882,Evan Lewis,3rd November 1919,,
18326,unknown,161 lbs. (73 kg) at 5'7'' (1.70 m),"Nezahualcóyotl, Estado de México (Mexico)",30th November 1994 (age 27),??th April 2005,La Flamita,,,
642,Matthew Wade Osborne,240 lbs. (109 kg) at 6'1'' (1.85 m),"Ellwood City, Pennsylvania (United States of America)",27th July 1957,6th December 1978 (43 years ago),Matt Borne,28th June 2013,,
1444,Terry Ray Gordy,289 lbs. (131 kg) at 6'4'' (1.93 m),"Chattanooga, Tennessee (United States of America)",23rd April 1961,1977,Terry Gordy,16th July 2001,,
8890,Cain Ramírez Velasquez,240 lbs. (109 kg) at 6'1'' (1.85 m),"Yuma, Arizona (United States of America)",28th July 1982 (age 39),7th October 2006 (15 years ago),Cain Velasquez,,,
570,Don Frye,220 lbs. (100 kg) at 6'1'' (1.85 m),"Sierra Vista, Arizona (United States of America)",23rd November 1965 (age 56),16th February 1996 (26 years ago),Don Frye,,,
339,Shelton James Benjamin,245 lbs. (111 kg) at 6'2'' (1.88 m),"Orangeburg, South Carolina (United States of America)",9th July 1975 (age 46),2nd May 2000 (21 years ago),Shelton Benjamin,,,
5458,Jonathan Huber,262 lbs. (119 kg) at 6'6'' (1.98 m),"Rochester, New York (United States of America)",16th December 1979,7th October 2003 (18 years ago),Jonathan Huber,26th December 2020,,
58,Jerry Lynn,212 lbs. (96 kg) at 5'9'' (1.75 m),"Minneapolis, Minnesota (United States of America)",12th June 1963 (age 58),23rd March 1988 (33 years ago),Jerry Lynn,,,
1433,Patrick John O'Connor,230 lbs. (104 kg) at 6'0'' (1.83 m),"Raetihi, Manawatu-Wanganui (New Zealand)",22nd August 1924,14th September 1950 (71 years ago),Pat O'Connor,16th August 1990,,
2878,Christos Theophelos,200 lbs. (91 kg) at 5'8'' (1.73 m),Árgos (Greece),2nd January 1897,25th February 1914 (108 years ago),Jim Londos,19th August 1975,,
2904,unknown,198 lbs. (90 kg) at 5'8'' (1.73 m),"Nuevo Laredo, Tamaulipas (Mexico)",30th December 1986 (age 35),2003,Laredo Kid,,,
2437,Rachel Collins,135 lbs. (61 kg) at 5'7'' (1.70 m),"St. Louis, Missouri (United States of America)",11th June 1976 (age 45),19th July 2001 (20 years ago),MsChif ,,,
962,Takashi Sasaki,198 lbs. (90 kg) at 5'10'' (1.78 m),"Ichinoseki, Iwate (Japan)",16th January 1975 (age 47),15th September 1996 (25 years ago),Takashi Sasaki,,,
7310,Mirko Filipovic,235 lbs. (107 kg) at 6'2'' (1.88 m),Vinkovci (Croatia),10th September 1974 (age 47),19th August 2001 (20 years ago),Mirko Cro Cop,,,
578,Hisako Uno Sasaki,132 lbs. (60 kg) at 5'6'' (1.68 m),"Yoshikawa, Saitama (Japan)",13th July 1967 (age 54),28th May 1985 (36 years ago),Akira Hokuto ,,,
2501,John Klinger,238 lbs. (108 kg) at 5'11'' (1.80 m),"Bitburg, Rheinland-Pfalz (Germany)",14th May 1984 (age 37),6th November 2004 (17 years ago),John Klinger,,,
772,Kensuke Sasaki,243 lbs. (110 kg) at 5'11'' (1.80 m),"Fukuoka, Fukuoka (Japan)",4th August 1966 (age 55),16th February 1986 (36 years ago),Kensuke Sasaki,,,
3088,Gustavo Torres Ramírez,165 lbs. (75 kg) at 5'6'' (1.68 m),"Nezahualcóyotl, Estado de México (Mexico)",23rd February 1981 (age 41),1998,Súper Comando,,,
17482,Thomas Ballester ,185 lbs. (84 kg) at 5'10'' (1.78 m),"Ansonia, Connecticut (United States of America)",5th September 1988 (age 33),??th March 2007,AR Fox,,,
12405,Johny Harvey Hendricks,170 lbs. (77 kg) at 5'9'' (1.75 m),"Ada, Oklahoma (United States of America)",12th September 1983 (age 38),28th September 2007 (14 years ago),Johny Hendricks,,,
28012,unknown,,Tokyo (Japan),27th December ???,1st December 2013 (8 years ago),Yuka Sakazaki ,,5'2'' (1.57 m),
2016,Masami Yoshida,171 lbs. (78 kg) at 5'6'' (1.68 m),"Kitakyushu, Fukuoka (Japan)",7th January 1962 (age 60),21st August 1978 (43 years ago),Devil Masami ,,,
19151,Yuzuki Aikawa,110 lbs. (50 kg) at 5'2'' (1.57 m),"Niihama, Ehime (Japan)",16th May 1983 (age 38),31st October 2010 (11 years ago),Yuzuki Aikawa ,,,
30439,Thomas Dawkins,,United Kingdom,,,Cara Noir,,,
1151,Giacomo Costa,235 lbs. (107 kg) at 5'9'' (1.75 m),"Lingua, Sicilia (Italy)",14th December 1919,1938,Al Costello,22nd January 2000,,
23814,Ashley Elizabeth Fliehr,,"Charlotte, North Carolina (United States of America)",5th April 1986 (age 35),25th October 2012 (9 years ago),Charlotte Flair ,,5'10'' (1.78 m),
3676,unknown,160 lbs. (73 kg) at 5'4'' (1.63 m),Mexico,21st November 1976 (age 45),1995,Mini Abismo Negro,,,
739,Takashi Sugiura,229 lbs. (104 kg) at 5'10'' (1.78 m),"Nagoya, Aichi (Japan)",31st May 1970 (age 51),23rd December 2000 (21 years ago),Takashi Sugiura,,,
18573,Kanji Higuchi,,"Yokohama, Kanagawa (Japan)",18th January 1929,1954,Joe Higuchi,7th November 2010,,
275,Roderick George Toombs,235 lbs. (107 kg) at 6'1'' (1.85 m),"Saskatoon, Saskatchewan (Canada)",17th April 1954,1969,Roddy Piper,31st July 2015,,
5224,unknown,93 lbs. (42 kg) at 5'1'' (1.55 m),"Tokyo, Tokyo (Japan)",4th June 1997 (age 24),29th May 2006 (15 years ago),Riho ,,,
10539,Héctor Neri,165 lbs. (75 kg) at 5'7'' (1.70 m),"Nezahualcóyotl, Estado de México (Mexico)",18th February 1985 (age 37),??th March 1998,Zatura,,,
29693,unknown,180 lbs. (82 kg) at 5'10'' (1.78 m),"Detroit, Michigan (United States of America)",17th August 1990 (age 31),18th October 2013 (8 years ago),Danhausen,,,
23527,Austin Matelson,234 lbs. (106 kg) at 6'5'' (1.96 m),"Los Angeles, California (United States of America)",10th March 1985 (age 36),,LuchaSaurus,,,
465,Kensuke Shinzaki,224 lbs. (102 kg) at 5'11'' (1.80 m),"Tokushima, Tokushima (Japan)",2nd December 1966 (age 55),19th November 1992 (29 years ago),Jinsei Shinzaki,,,
2260,Akira Tozawa,156 lbs. (71 kg) at 5'7'' (1.70 m),"Kobe, Hyogo (Japan)",22nd July 1985 (age 36),3rd April 2005 (16 years ago),Akira Tozawa,,,
763,José Luis Rodríguez Arellano,211 lbs. (96 kg) at 5'10'' (1.78 m),"San Luis Potosí, San Luis Potosí (Mexico)",20th February 1951 (age 71),6th January 1970 (52 years ago),Dos Caras,,,
939,Hiroshi Hase,231 lbs. (105 kg) at 6'0'' (1.83 m),"Oyabe, Toyama (Japan)",5th May 1961 (age 60),28th February 1986 (36 years ago),Hiroshi Hase,,,
5755,Justin Jason Roberts,173 lbs. (78 kg) at 5'10'' (1.78 m),"Chicago, Illinois (United States of America)",29th December 1979 (age 42),??th November 1996,Justin Roberts,,,
5117,Daniel Jeffery Henderson,205 lbs. (93 kg) at 6'1'' (1.85 m),"Downey, California (United States of America)",24th August 1970 (age 51),15th June 1997 (24 years ago),Dan Henderson,,,
28803,Jamie White,198 lbs. (90 kg) at 6'1'' (1.85 m),"Auckland, Auckland (New Zealand)",10th October 1992 (age 29),19th February 2013 (9 years ago),Jay White,,,
5125,unknown,300 lbs. (136 kg) at 6'3'' (1.91 m),"Berlin, Berlin (Germany)",6th September 1990 (age 31),2007,Pascal Spalter,,,
15324,unknown,1 lbs. (0 kg) at 3'11'' (1.19 m),Netherlands,25th December 2004 (age 17),25th February 2005 (17 years ago),YOSHIHIKO,,,
12867,unknown,187 lbs. (85 kg) at 5'7'' (1.70 m),"Guadalajara, Jalisco (Mexico)",15th October 1990 (age 31),2008,Titán,,,
2877,Mark Hussey,195 lbs. (88 kg) at 5'8'' (1.73 m),"Manchester, Greater Manchester, England (United Kingdom)",11th May 1951,,Mark Rocco,30th July 2020,,
7767,unknown,207 lbs. (94 kg) at 5'9'' (1.75 m),"Monterrey, Nuevo León (Mexico)",15th February ???,15th February 2001 (21 years ago),Hechicero,,,
2406,Luis Arturo Aguilar Mendoza,221 lbs. (100 kg) at 6'1'' (1.85 m),"Ciudad de México, Ciudad de México (Mexico)",31st July 1984 (age 37),24th February 1999 (23 years ago),El Texano Jr.,,,
1403,Randy Duane Couture,205 lbs. (93 kg) at 6'2'' (1.88 m),"Everett, Washington (United States of America)",22nd June 1963 (age 58),30th May 1997 (24 years ago),Randy Couture,,,
3667,Mario Alberto González,183 lbs. (83 kg) at 5'8'' (1.73 m),"Cadereyta de Montes, Querétaro Arteaga (Mexico)",11th March 1983 (age 38),30th April 1999 (22 years ago),Rey Cometa,,,
1476,Ryo Saito,170 lbs. (77 kg) at 5'7'' (1.70 m),"Yamagata, Yamagata (Japan)",15th August 1978 (age 43),11th May 1997 (24 years ago),Ryo Saito,,,
1822,Matthew Joseph Korklan,177 lbs. (80 kg) at 5'9'' (1.75 m),"St. Louis, Missouri (United States of America)",19th March 1983 (age 38),20th October 2000 (21 years ago),Matt Sydal,,,
737,Kevin Citlali Zamora,231 lbs. (105 kg) at 6'0'' (1.83 m),"Nicolás Romero, Estado de México (Mexico)",2nd June 1975 (age 46),3rd July 1996 (25 years ago),Chessman,,,
1257,Edward F. Gossett,215 lbs. (98 kg) at 5'11'' (1.80 m),"Chattanooga, Tennessee (United States of America)",15th January 1930,1947,Eddie Graham,20th January 1985,,
15245,Alexander L. Gustafsson,205 lbs. (93 kg) at 6'5'' (1.96 m),"Arboga, Västernorrlands (Sweden)",15th January 1987 (age 35),17th November 2007 (14 years ago),Alexander Gustafsson,,,
2372,Walter Hahn,297 lbs. (135 kg) at 6'4'' (1.93 m),"Wien, Wien (Austria)",20th August 1987 (age 34),19th November 2005 (16 years ago),Gunther,,,
3073,Timothy Andrew Moura,226 lbs. (103 kg) at 6'3'' (1.91 m),"Sacramento, California (United States of America)",17th March 1983 (age 38),2006,Timothy Thatcher,,,
22079,Cheree Crowley,125 lbs. (57 kg) at 5'6'' (1.68 m),"Auckland, Auckland (New Zealand)",6th May 1988 (age 33),2007,Dakota Kai ,,,
8894,Holly Letkeman,123 lbs. (56 kg) at 5'8'' (1.73 m),"Winnipeg, Manitoba (Canada)",29th November 1983 (age 38),30th January 2008 (14 years ago),Rosemary ,,,
9709,unknown,235 lbs. (107 kg) at 5'7'' (1.70 m),United Kingdom,5th December 1940 (age 81),8th August 1957 (64 years ago),Adrian Street,,,
507,Lauren Williams,125 lbs. (57 kg) at 5'6'' (1.68 m),"Toronto, Ontario (Canada)",13th September 1981 (age 40),??th August 2000,Angelina Love ,,,
7052,Antônio Rodrigo Nogueira,235 lbs. (107 kg) at 6'3'' (1.91 m),"Vitória da Conquista, Bahia (Brazil)",2nd June 1976 (age 45),12th June 1999 (22 years ago),Antônio Rodrigo Nogueira,,,
1258,Hunter Johnston,186 lbs. (84 kg) at 5'10'' (1.78 m),"Cape Girardeau, Missouri (United States of America)",19th December 1981 (age 40),19th July 2001 (20 years ago),Delirious,,,
7228,Rocco Monroe DiGrazio,,"Dodge City, Kansas (United States of America)",18th December 1928,,Sputnik Monroe,3rd November 2006,,
477,Kerry Gene Adkisson,254 lbs. (115 kg) at 6'2'' (1.88 m),"Buffalo, New York (United States of America)",3rd February 1960,7th May 1978 (43 years ago),Kerry Von Erich,18th February 1993,,
19803,Ivelisse Milagro Velez,115 lbs. (52 kg) at 5'4'' (1.63 m),Ponce (Puerto Rico),21st September 1988 (age 33),2004,Ivelisse ,,,
2442,Kia Michelle Stevens,,"Carson, California (United States of America)",4th September 1977 (age 44),20th October 2002 (19 years ago),Awesome Kong ,,5'10'' (1.78 m),
22642,Pamela Rose Martinez,119 lbs. (54 kg) at 5'6'' (1.68 m),"San José, California (United States of America)",15th June 1989 (age 32),19th September 2008 (13 years ago),Bayley ,,,
1401,Dorrance Funk Jr.,250 lbs. (113 kg) at 6'2'' (1.88 m),"Hammond, Indiana (United States of America)",3rd February 1941 (age 81),10th January 1963 (59 years ago),Dory Funk Jr.,,,
2912,unknown,209 lbs. (95 kg) at 5'9'' (1.75 m),"Torreón, Coahuila de Zaragoza (Mexico)",2nd February ???,20th February 1994 (28 years ago),Misterioso #2,,,
28561,Charles Edward Betts,202 lbs. (92 kg) at 5'8'' (1.73 m),"Minneapolis, Minnesota (United States of America)",8th March 1986 (age 36),2012,Chad Gable,,,
3096,unknown,,"Heroica Puebla de Zaragoza, Puebla (Mexico)",,1986,Toro Bill,,,
14589,unknown,154 lbs. (70 kg) at 5'5'' (1.65 m),"Hiratsuka, Kanagawa (Japan)",6th November 1985 (age 36),19th March 2006 (15 years ago),Hiroyo Matsumoto ,,,
597,Christopher Lindsey,200 lbs. (91 kg) at 5'10'' (1.78 m),"Eau Claire, Wisconsin (United States of America)",26th July 1983 (age 38),2000,Roderick Strong,,,
1000,Akihito Fujisawa,187 lbs. (85 kg) at 6'0'' (1.83 m),"Morioka, Iwate (Japan)",27th August 1976 (age 45),3rd May 2000 (21 years ago),Milano Collection AT,,,
32,Terry Michael Brunk,220 lbs. (100 kg) at 6'0'' (1.83 m),"Detroit, Michigan (United States of America)",12th December 1964 (age 57),1984,Sabu,,,
812,Roberto Gutiérrez Frías,200 lbs. (91 kg) at 5'7'' (1.70 m),"Tijuana, Baja California (Mexico)",2nd October 1962 (age 59),,El Dandy,,,
99,Michael J. Hegstrand,275 lbs. (125 kg) at 6'3'' (1.91 m),"Chicago, Illinois (United States of America)",26th January 1957,18th April 1983 (38 years ago),Road Warrior Hawk,19th October 2003,,
356,Frank B. Gerdelman,215 lbs. (98 kg) at 6'1'' (1.85 m),"Palm Springs, California (United States of America)",4th August 1977 (age 44),1998,Frankie Kazarian,,,
2902,Erick Aguilar Muñoz,180 lbs. (82 kg) at 5'6'' (1.68 m),"Heroica Puebla de Zaragoza, Puebla (Mexico)",24th February 1987 (age 35),1st May 2001 (20 years ago),Súper Fly,,,
1420,Edward George Farhat,247 lbs. (112 kg) at 5'11'' (1.80 m),"Lansing, Michigan (United States of America)",7th June 1926,1949,The Sheik,18th January 2003,,
3627,unknown,183 lbs. (83 kg) at 5'10'' (1.78 m),"Tokyo, Tokyo (Japan)",6th July 1974 (age 47),2001,HARASHIMA,,,
16061,Masahiko Kimura,,,10th September 1917,,Masahiko Kimura,18th April 1993,,
