,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
8907,Michael Dante,231 lbs. (105 kg) at 6'1'' (1.85 m),"Zaanstad, Noord-Holland (Netherlands)",21st August 1986 (age 35),2002,Michael Dante,,,
13399,Jacob Steven Ellenberger,170 lbs. (77 kg) at 6'0'' (1.83 m),"Omaha, Nebraska (United States of America)",28th March 1985 (age 36),9th April 2005 (16 years ago),Jake Ellenberger,,,
894,Antonio Sánchez Rendón,216 lbs. (98 kg) at 5'8'' (1.73 m),"Ocotlán de Morelos, Oaxaca (Mexico)",4th September 1954 (age 67),16th September 1971 (50 years ago),El Signo,,,
1133,Joey Nelson,225 lbs. (102 kg) at 6'3'' (1.91 m),"Chicago, Illinois (United States of America)",4th November 1979 (age 42),,Chance Prophet,,,
7857,Catherine Power,150 lbs. (68 kg) at 5'9'' (1.75 m),"Windsor, Ontario (Canada)",15th November 1984 (age 37),9th July 2006 (15 years ago),Cat Power ,,,
8405,Samuel Polinsky,251 lbs. (114 kg) at 6'4'' (1.93 m),"Monroeville, Pennsylvania (United States of America)",,,Sam Adonis,,,
30433,unknown,,"Essen, Nordrhein-Westfalen (Germany)",,,Francis Kaspin,,,
546,Masao Kimura,229 lbs. (104 kg) at 5'10'' (1.78 m),"Joyo, Kyoto (Japan)",21st August 1972 (age 49),22nd July 1997 (24 years ago),Katsushi Takemura,,,
1318,Juan Baños,205 lbs. (93 kg) at 5'8'' (1.73 m),"Llano Grande, Oaxaca (Mexico)",18th September 1949,14th March 1976 (45 years ago),Lizmark,16th December 2015,,
1450,Kohei Sato,255 lbs. (116 kg) at 6'3'' (1.91 m),"Tokyo, Tokyo (Japan)",21st September 1977 (age 44),28th March 1999 (22 years ago),Kohei Sato,,,
1528,John Yachetti,240 lbs. (109 kg) at 5'10'' (1.78 m),"Hamilton, Ontario (Canada)",1927,,The Beast,1986,,
1697,Les Thornton,215 lbs. (98 kg) at 5'9'' (1.75 m),"Manchester, Greater Manchester, England (United Kingdom)",9th April 1934,1957,Les Thornton,1st February 2019,,
4071,Michael Gilbert,216 lbs. (98 kg) at 6'2'' (1.88 m),"Stoke-on-Trent, Staffordshire, England (United Kingdom)",16th July 1980 (age 41),2000,Mikey Whiplash,,,
5558,Andrew Dickinson,185 lbs. (84 kg) at 5'9'' (1.75 m),"Worsley, Greater Manchester, England (United Kingdom)",1978,??th January 2002,Dirk Feelgood,,,
6004,unknown,,Mexico,4th December 1991 (age 30),2009,El Hijo del Dr. Wagner Jr.,,5'10'' (1.78 m),
6107,Dave Morton,202 lbs. (92 kg) at 5'8'' (1.73 m),"Fleetwood, Lancashire, England (United Kingdom)",1987,,Sparx,,,
6183,Patrick Buckridge,221 lbs. (100 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",24th December 1984 (age 37),2003,Pat Buck,,,
6524,Amy Janas,145 lbs. (66 kg) at 5'5'' (1.65 m),"Pittsburgh, Pennsylvania (United States of America)",22nd June 1982 (age 39),??th August 2004,Lorelei Lee ,,,
15948,Toni Adams,,"Corpus Christi, Texas (United States of America)",1964,1985,Toni Donahoo ,24th June 2010,,125 lbs. (57 kg)
16632,unknown,169 lbs. (77 kg) at 5'7'' (1.70 m),"São Paulo, São Paulo (Brazil)",24th December 1984 (age 37),,Zumbi,,,
17903,unknown,125 lbs. (57 kg) at 5'3'' (1.60 m),"Philadelphia, Pennsylvania (United States of America)",17th August 1991 (age 30),24th January 2010 (12 years ago),Jenny Rose ,,,
18698,William Carr,285 lbs. (129 kg) at 6'4'' (1.93 m),,21st April ???,,Bobby Dutch,,,
26819,unknown,165 lbs. (75 kg) at 5'4'' (1.63 m),"Salzburg, Salzburg (Austria)",14th July 1995 (age 26),1st February 2013 (9 years ago),Jessy Jay ,,,
28464,DaQuentin Redden,210 lbs. (95 kg) at 5'10'' (1.78 m),"New York City, New York (United States of America)",12th April 1994 (age 27),3rd February 2001 (21 years ago),Marq Quen,,,
1629,Reginald Siki,245 lbs. (111 kg) at 5'10'' (1.78 m),"Montgomery, Texas (United States of America)",16th June 1940 (age 81),1955,Sweet Daddy Siki,,,
1654,unknown,295 lbs. (134 kg) at 6'4'' (1.93 m),"Hamilton, Ontario (Canada)",1947,1961,John Quinn,22nd April 2019,,
1733,James Hasse,242 lbs. (110 kg) at 5'10'' (1.78 m),"Cleveland, Ohio (United States of America)",13th January 1970,20th March 1992 (29 years ago),JT Lightning,3rd August 2011,,
1889,Michele Leone,208 lbs. (94 kg) at 5'9'' (1.75 m),"Pettorano sul Gizio, Abruzzo (Italy)",8th June 1909,1924,Baron Michele Leone,26th November 1988,,
1976,unknown,187 lbs. (85 kg) at 5'10'' (1.78 m),"Matsuyama, Ehime (Japan)",12th December 1983 (age 38),20th February 2002 (20 years ago),Hagane Shino,,,
2491,Peter Werber,190 lbs. (86 kg) at 6'1'' (1.85 m),Germany,14th March 1983 (age 38),2000,Pierre Le Prestee,,,
2505,Fabio Ferrari,176 lbs. (80 kg) at 6'1'' (1.85 m),"Genova, Liguria (Italy)",23rd August 1984 (age 37),23rd July 2001 (20 years ago),Fabio Ferrari,,,
4094,Don Lewis Greene,,"San Francisco, California (United States of America)",29th August 1930,,Don Greene,21st June 2014,,
4141,unknown,,"Houston, Texas (United States of America)",1983,,Brett Idol,,,
4748,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),"Toronto, Ontario (Canada)",1985,,Kris Chambers,,,
5116,unknown,,Mexico,22nd August 1960,1978,Ice Killer,30th March 2021,,
6800,unknown,230 lbs. (104 kg) at 6'2'' (1.88 m),"Great Yarmouth, Norfolk, England (United Kingdom)",30th May 1987 (age 34),2005,Big Joe,,,
6842,unknown,154 lbs. (70 kg) at 6'0'' (1.83 m),"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",2nd June ???,,Iain Robinson,,,
7302,unknown,,"Minneapolis, Minnesota (United States of America)",,,Chris Markoff,,,
7649,Valerie French,,,,??th January 1983,Sunshine ,,,
7705,Yuki Sato,154 lbs. (70 kg) at 5'4'' (1.63 m),"Kumamoto, Kumamoto (Japan)",25th November 1985 (age 36),22nd October 2005 (16 years ago),Hao,,,
7753,unknown,212 lbs. (96 kg) at 6'2'' (1.88 m),"Clydebank, West Dunbartonshire, Scotland (United Kingdom)",22nd September 1985 (age 36),??th June 2004,Chris Renfrew,,,
7777,Amir Sadollah,170 lbs. (77 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",27th August 1980 (age 41),21st June 2008 (13 years ago),Amir Sadollah,,,
8363,unknown,210 lbs. (95 kg) at 6'5'' (1.96 m),"Cambridge, Cambridgeshire, England (United Kingdom)",,,Adonis,,,
8857,Karl James Noons,155 lbs. (70 kg) at 5'10'' (1.78 m),"Kailua-Kona, Hawaii (United States of America)",7th December 1982 (age 39),12th October 2002 (19 years ago),KJ Noons,,,
9989,Paul Kelly,155 lbs. (70 kg) at 5'9'' (1.75 m),"Liverpool, Merseyside, England (United Kingdom)",12th September 1984 (age 37),29th July 2005 (16 years ago),Paul Kelly,,,
10843,unknown,298 lbs. (135 kg) at 6'3'' (1.91 m),"Aurora, Illinois (United States of America)",,1997,Willie Richardson,,,
11330,Darren Uyenoyama,125 lbs. (57 kg) at 5'6'' (1.68 m),"San Francisco, California (United States of America)",15th October 1979 (age 42),9th June 2002 (19 years ago),Darren Uyenoyama,,,
12183,Yohei Nakajima,168 lbs. (76 kg) at 5'8'' (1.73 m),"Hakodate, Hokkaido (Japan)",22nd August 1985 (age 36),5th July 2008 (13 years ago),Black Menso~re,,,
14435,unknown,,United Kingdom,,6th March 2009 (13 years ago),Cory Green,,,
17498,Andrew Outridge,157 lbs. (71 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",,2008,Andy Ridge,,,
20854,Yasuhiro Urushitani,125 lbs. (57 kg) at 5'5'' (1.65 m),"Shikokuchuo, Ehime (Japan)",8th September 1976 (age 45),19th January 2001 (21 years ago),Yasuhiro Urushitani,,,
20946,unknown,195 lbs. (88 kg) at 5'8'' (1.73 m),United Kingdom,,,Dean Michael,,,
21081,Dylan Bostic,185 lbs. (84 kg) at 5'11'' (1.80 m),"Indianapolis, Indiana (United States of America)",15th November 1991 (age 30),??th June 2007,Dylan Bostic,,,
21454,Yoel Romero Palacio,185 lbs. (84 kg) at 6'0'' (1.83 m),Pinar del Rio (Cuba),30th April 1977 (age 44),20th December 2009 (12 years ago),Yoel Romero,,,
22148,Dylan James,254 lbs. (115 kg) at 6'5'' (1.96 m),Auckland (New Zealand),25th May 1991 (age 30),,James Raideen,,,
24007,unknown,,,,,George Connell,,,
24389,Priscilla Zuniga,114 lbs. (52 kg) at 5'1'' (1.55 m),"Miami Gardens, Florida (United States of America)",14th July 1991 (age 30),19th July 2008 (13 years ago),Diamanté ,,,
24668,Oliver Sauter,198 lbs. (90 kg) at 6'0'' (1.83 m),Nigeria,9th May ???,,Oliver Carter,,,
26024,Tamara McNeill,119 lbs. (54 kg) at 5'5'' (1.65 m),"Brentwood, New York (United States of America)",19th July 1990 (age 31),18th November 2011 (10 years ago),Hania the Howling Huntress ,,,
26265,Felice Nicole Herrig,115 lbs. (52 kg) at 5'4'' (1.63 m),"Buffalo Grove, Illinois (United States of America)",18th September 1984 (age 37),21st February 2009 (13 years ago),Felice Herrig ,,,
28970,Tomoko Miyagi,143 lbs. (65 kg) at 5'6'' (1.68 m),"Yamaguchi, Yamaguchi (Japan)",16th March 1993 (age 28),24th November 2014 (7 years ago),Andras Miyagi ,,,
30615,Mark Kluth,200 lbs. (91 kg) at 5'7'' (1.70 m),"Berlin, Berlin (Germany)",14th January 1995 (age 27),7th December 2013 (8 years ago),Nickolas Kluth,,,
31440,Brandi Lauren Pawelek,135 lbs. (61 kg) at 5'8'' (1.73 m),"Buffalo, New York (United States of America)",26th September 1996 (age 25),5th March 2016 (6 years ago),Brandi Lauren ,,,
32700,unknown,106 lbs. (48 kg) at 5'2'' (1.57 m),"Central Coast, New South Wales (Australia)",2nd February 1997 (age 25),13th December 2014 (7 years ago),Charli Evans ,,,
34602,Carlos Ruiz Sánchez,154 lbs. (70 kg) at 5'8'' (1.73 m),"Madrid, Comunidad de Madrid (Spain)",9th May 1996 (age 25),14th July 2012 (9 years ago),A-Kid,,,
906,Juan José Hernández Ornelas,216 lbs. (98 kg) at 6'0'' (1.83 m),Mexico,1st November ???,1979,El Fantasma,,,
1166,Chad Parham,212 lbs. (96 kg) at 6'1'' (1.85 m),"Demorest, Georgia (United States of America)",21st August 1983 (age 38),2000,Chad Parham,,,
1338,Roberto Castillo,194 lbs. (88 kg) at 5'8'' (1.73 m),"Los Angeles, California (United States of America)",26th May 1966 (age 55),10th March 1988 (34 years ago),Misterioso,,,
1677,unknown,236 lbs. (107 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",17th June 1923,,Luiz Martínez,??th September 2013,,
1714,Patrick Barrett,,"Lisburn, Lisburn, Northern Ireland (United Kingdom)",4th September 1941,1959,Pat Barrett,28th November 2021,,
1788,Genaro Jacobo Contreras,203 lbs. (92 kg) at 5'7'' (1.70 m),"Mezcala de la Asunción, Jalisco (Mexico)",19th September 1949 (age 72),1st January 1968 (54 years ago),Ringo Mendoza,,,
1835,Yoshiaki Yatsu,264 lbs. (120 kg) at 6'1'' (1.85 m),"Ora, Gunma (Japan)",19th September 1956 (age 65),??th December 1980,Yoshiaki Yatsu,,,
1856,Carl R. Brantley,290 lbs. (132 kg) at 6'2'' (1.88 m),"Wilkesboro, North Carolina (United States of America)",,1990,Vladimir Koloff,,,
2056,Hiroshi Yagi,231 lbs. (105 kg) at 6'1'' (1.85 m),"Tokyo, Tokyo (Japan)",21st March 1956,1972,Ryuma Go,18th October 2009,,
2163,Ken'ichi Sakai,176 lbs. (80 kg) at 5'10'' (1.78 m),"Sagamihara, Kanagawa (Japan)",25th May 1982 (age 39),7th December 2002 (19 years ago),Ken 45°,,,
2405,unknown,180 lbs. (82 kg) at 5'11'' (1.80 m),"Mississauga, Ontario (Canada)",,,Christopher Bishop,,,
2639,George Momberg,,Netherlands,13th May 1934,1957,Killer Karl Krupp,24th August 1995,,
2705,Yuki Ono,236 lbs. (107 kg) at 5'6'' (1.68 m),"Hakodate, Hokkaido (Japan)",4th October 1985 (age 36),5th October 2005 (16 years ago),Katsuo,,,
3148,Aki Kanbayashi,143 lbs. (65 kg) at 5'1'' (1.55 m),"Sapporo, Hokkaido (Japan)",2nd September 1976 (age 45),25th October 1995 (26 years ago),Miss Mongol ,,,
3210,Katsuji Adachi,247 lbs. (112 kg) at 6'0'' (1.83 m),"Osaka, Osaka (Japan)",25th April 1942,1967,Katsuji Adachi,20th April 2010,,
3547,Dennis Stewart,189 lbs. (86 kg) at 5'11'' (1.80 m),"Welland, Ontario (Canada)",8th January 1972 (age 50),1998,Derek Wylde,,,
3777,Lewis Howse,,"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",30th March 1991 (age 30),,Lewis Chambers,,,
3845,unknown,215 lbs. (98 kg) at 6'0'' (1.83 m),Ireland,,2nd December 2004 (17 years ago),Vic Viper,,,
4968,unknown,208 lbs. (94 kg) at 5'11'' (1.80 m),United Kingdom,,,Jake O'Reilly,,,
5090,unknown,95 lbs. (43 kg) at 3'5'' (1.04 m),Mexico,1st October 1954,,Chucky,8th March 2022,,
5361,Enrique Sánchez Torres,210 lbs. (95 kg) at 6'2'' (1.88 m),"Santa Ana, California (United States of America)",25th July 1922,??th June 1946,Enrique Torres,10th September 2007,,
5419,unknown,172 lbs. (78 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",28th November 1981 (age 40),15th December 2004 (17 years ago),El Ídolo #2,,,
5446,Nathan Blodgett,175 lbs. (79 kg) at 5'8'' (1.73 m),"Council Bluffs, Iowa (United States of America)",14th August 1985 (age 36),,Jaysin Strife,,,
5935,unknown,217 lbs. (98 kg) at 6'0'' (1.83 m),"Glasgow, Glasgow, Scotland (United Kingdom)",,,Eric  Canyon,,,
5956,unknown,260 lbs. (118 kg) at 6'1'' (1.85 m),"Southampton, Hampshire, England (United Kingdom)",1982,??th August 1998,Kris Kay,,,
6823,unknown,205 lbs. (93 kg) at 6'3'' (1.91 m),"Oslo, Oslo (Norway)",8th September 1989 (age 32),,Aron Frost,,,
7102,Faith Lehaine,112 lbs. (51 kg) at 5'1'' (1.55 m),"Wilmington, North Carolina (United States of America)",22nd May 1987 (age 34),,Faith Lehaine ,,,
7383,Jonathan Ortagun,155 lbs. (70 kg) at 5'9'' (1.75 m),United States of America,,2001,Jonny Vandal,,,
7490,Chris Tolos,,"Hamilton, Ontario (Canada)",5th December 1929,1951,Chris Tolos,13th August 2005,,
7662,Paul Taylor,155 lbs. (70 kg) at 6'0'' (1.83 m),"Walsall, West Midlands, England (United Kingdom)",1980,7th September 2002 (19 years ago),Paul Taylor,,,
8492,Scott Beach,190 lbs. (86 kg) at 6'0'' (1.83 m),California (United States of America),15th November 1983 (age 38),??th February 2001,Aden Chambers,,,
9091,Richard Divers,191 lbs. (87 kg) at 5'10'' (1.78 m),"Paisley, Renfrewshire, Scotland (United Kingdom)",13th May 1985 (age 36),2007,Dickie Divers,,,
9776,unknown,119 lbs. (54 kg) at 5'3'' (1.60 m),"Delsberg, Jura (Switzerland)",19th September 1991 (age 30),2006,Laura Wellings ,,,
9797,unknown,200 lbs. (91 kg) at 5'10'' (1.78 m),"Calgary, Alberta (Canada)",28th February ???,14th October 2005 (16 years ago),Chucky the Boy Wonder,,,
10376,Brian Graham,287 lbs. (130 kg) at 6'5'' (1.96 m),"Sheguiandah, Ontario (Canada)",1st December 1970 (age 51),,Brian Youngblood,,,
11239,unknown,216 lbs. (98 kg) at 6'1'' (1.85 m),"Dunstable, Bedfordshire, England (United Kingdom)",,,Terry Rudge,,,
11766,unknown,175 lbs. (79 kg) at 5'11'' (1.80 m),"Montréal, Quebec (Canada)",,2nd October 2004 (17 years ago),Buxx Belmar,,,
12186,Satoshi Ishii,235 lbs. (107 kg) at 5'11'' (1.80 m),"Ibaraki, Osaka (Japan)",19th December 1986 (age 35),31st December 2009 (12 years ago),Satoshi Ishii,,,
12400,Daniel Alfonso Castillo,155 lbs. (70 kg) at 5'9'' (1.75 m),"San Francisco, California (United States of America)",25th August 1979 (age 42),11th November 2007 (14 years ago),Danny Castillo,,,
14104,unknown,150 lbs. (68 kg) at 5'6'' (1.68 m),Japan,10th October 1983 (age 38),7th November 2004 (17 years ago),Daisuke Masaoka,,,
14148,unknown,176 lbs. (80 kg) at 5'7'' (1.70 m),Fukushima (Japan),11th June 1988 (age 33),3rd January 2008 (14 years ago),Ryuichi Sekine,,,
14298,unknown,,,,,Sean Royal,,,
14417,unknown,188 lbs. (85 kg) at 6'1'' (1.85 m),United Kingdom,,2005,Brad Matthews,,,
15214,unknown,193 lbs. (88 kg) at 5'11'' (1.80 m),"Adelaide, South Australia (Australia)",,2003,Damian Slater,,,
15284,Bobby Voelker,170 lbs. (77 kg) at 6'0'' (1.83 m),"Kansas City, Kansas (United States of America)",,11th February 2006 (16 years ago),Bobby Voelker,,,
15322,James Patrick Hamilton,,"Akron, Ohio (United States of America)",11th July 1958,,Incredible Bulk,9th June 2014,,
15975,unknown,,"Brixham, Devon, England (United Kingdom)",,,Mark Walsh,,,
17115,Patrick Healy,155 lbs. (70 kg) at 5'9'' (1.75 m),"Salem, Oregon (United States of America)",20th July 1983 (age 38),15th August 2001 (20 years ago),Pat Healy,,,
17884,unknown,170 lbs. (77 kg) at 5'8'' (1.73 m),"Lancaster, California (United States of America)",14th June 1986 (age 35),4th April 2009 (12 years ago),Ray Rosas,,,
18429,unknown,209 lbs. (95 kg) at 6'1'' (1.85 m),"Montpelier, Vermont (United States of America)",,,BJ Hancock,,,
18805,Chris Barrie Small,170 lbs. (77 kg) at 5'10'' (1.78 m),"Milton Keynes, Buckinghamshire, England (United Kingdom)",21st January 1986 (age 36),18th September 2010 (11 years ago),Chris Hawk,,,
19440,unknown,143 lbs. (65 kg) at 5'1'' (1.55 m),"Osaka, Osaka (Japan)",9th September 1988 (age 33),23rd December 2009 (12 years ago),Sawako Shimono ,,,
19482,Gianpiero Villan,205 lbs. (93 kg) at 6'3'' (1.91 m),"Levittown, New York (United States of America)",18th April 1985 (age 36),20th February 2009 (13 years ago),Gian Villante,,,
20595,Brandon Kaplan,196 lbs. (89 kg) at 6'1'' (1.85 m),"New York City, New York (United States of America)",17th July 1981,2000,Spyral,4th December 2017,,
21828,Thomas Wing,,,25th July 1983 (age 38),2004,Thomas Wing,,,
23404,unknown,,Portugal,,,Maik Tuga,,,
23666,Timothy Elliott,125 lbs. (57 kg) at 5'7'' (1.70 m),"Wichita, Kansas (United States of America)",24th December 1986 (age 35),8th May 2009 (12 years ago),Timothy Elliott,,,
23826,Nah-Shon D. Burrell,170 lbs. (77 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",5th February 1990 (age 32),19th June 2010 (11 years ago),Nah-Shon Burrell,,,
24381,unknown,161 lbs. (73 kg) at 5'4'' (1.63 m),"Berlin, Berlin (Germany)",23rd June 1991 (age 30),1st October 2011 (10 years ago),René Shaw,,,
24905,Jimi Tuluki Manuwa,205 lbs. (93 kg) at 6'2'' (1.88 m),Abuja (Nigeria),18th February 1980 (age 42),26th July 2008 (13 years ago),Jimi Manuwa,,,
24996,unknown,,United States of America,,,Drew Myers,,,
27704,Alexander Jones,,United States of America,,,Troy McClain,,,
27774,unknown,181 lbs. (82 kg) at 5'8'' (1.73 m),"Yamaga, Kumamoto (Japan)",28th February 1988 (age 34),24th May 2013 (8 years ago),Daiki Inaba,,,
28638,unknown,189 lbs. (86 kg) at 5'8'' (1.73 m),Indiana (United States of America),,,Ace Perry,,,
29750,Mitchell Huff,,"Louisville, Kentucky (United States of America)",,,Mitch Huff,,,
32103,Trey McBrayer,136 lbs. (62 kg) at 5'9'' (1.75 m),"Toledo, Ohio (United States of America)",30th April 1994 (age 27),,Trey Miguel,,,
35080,Laura Fischer,,"Bad Homburg vor der Höhe, Hessen (Germany)",5th June 1994 (age 27),9th April 2016 (5 years ago),Baby Allison ,,,
35114,unknown,172 lbs. (78 kg) at 5'6'' (1.68 m),"Leicester, Leicestershire, England (United Kingdom)",,31st December 2012 (9 years ago),Jack Starz,,,
35711,Daniel Tunis-Garcia,,"Buffalo, New York (United States of America)",7th September 1998 (age 23),,Daniel García,,,
66,Óscar Gutiérrez Rubio,175 lbs. (79 kg) at 5'3'' (1.60 m),"Chula Vista, California (United States of America)",12th December 1974 (age 47),30th April 1989 (32 years ago),Rey Mysterio,,,
22877,Matthew Rehwoldt,215 lbs. (98 kg) at 6'3'' (1.91 m),"Chicago, Illinois (United States of America)",7th October 1987 (age 34),17th September 2011 (10 years ago),Matthew Rehwoldt,,,
529,Scott Michael Norton,360 lbs. (163 kg) at 6'3'' (1.91 m),"Minneapolis, Minnesota (United States of America)",15th June 1961 (age 60),13th April 1989 (32 years ago),Scott Norton,,,
115,Tonga 'Uli'uli Fifita,300 lbs. (136 kg) at 6'1'' (1.85 m),Nuku'alofa (Tonga),3rd February 1959 (age 63),1977,Haku,,,
1223,Pedro Ortiz Villanueva,214 lbs. (97 kg) at 5'9'' (1.75 m),"Nezahualcóyotl, Estado de México (Mexico)",29th July 1962 (age 59),20th February 1979 (43 years ago),Pirata Morgan,,,
2909,José Cristian Alvarado Ruíz,204 lbs. (93 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",8th November 1980 (age 41),2nd April 2000 (21 years ago),Máximo,,,
718,Carlos Edwin Colón Jr.,220 lbs. (100 kg) at 5'10'' (1.78 m),San Juan (Puerto Rico),21st February 1979 (age 43),??th November 1999,Carlito,,,
3205,unknown,187 lbs. (85 kg) at 5'6'' (1.68 m),"Berlin, Berlin (Germany)",26th August 1978 (age 43),1994,Ahmed Chaer,,,
658,Bradley James,260 lbs. (118 kg) at 6'0'' (1.83 m),"Marietta, Georgia (United States of America)",15th June 1961,1980,Brad Armstrong,1st November 2012,,
86,Ronald Simmons,270 lbs. (122 kg) at 6'2'' (1.88 m),"Warner Robins, Georgia (United States of America)",15th May 1962 (age 59),??th October 1986,Ron Simmons,,,
863,Raymond Rougeau,230 lbs. (104 kg) at 5'11'' (1.80 m),"Saint-Sulpice, Quebec (Canada)",18th February 1955 (age 67),1971,Raymond Rougeau,,,
2274,William Posada,200 lbs. (91 kg) at 5'10'' (1.78 m),"Philadelphia, Pennsylvania (United States of America)",10th October 1983 (age 38),1st April 2000 (21 years ago),Joker,,,
1880,Hazem Ali,230 lbs. (104 kg) at 6'2'' (1.88 m),"Chicago, Illinois (United States of America)",20th December 1978 (age 43),2004,Mr. A.E.,,,
15806,unknown,375 lbs. (170 kg) at 6'7'' (2.01 m),,,,Tursas,,,
1439,unknown,213 lbs. (97 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",20th March 1977 (age 44),1996,Caprice Coleman,,,
2827,Melanie Otter,172 lbs. (78 kg) at 5'7'' (1.70 m),"Coburg, Bayern (Germany)",24th July 1987 (age 34),13th May 2006 (15 years ago),Melanie Gray ,,,
1381,Matthew Kaye,224 lbs. (102 kg) at 5'10'' (1.78 m),"New York City, New York (United States of America)",26th June 1974 (age 47),??th January 2001,Matt Striker,,,
2704,Michael Wills DiBiase,216 lbs. (98 kg) at 6'0'' (1.83 m),"Clinton, Mississippi (United States of America)",10th September 1977 (age 44),8th July 2006 (15 years ago),Mike DiBiase Jr.,,,
4517,unknown,,"Jackson, Tennessee (United States of America)",1st June 1955 (age 66),??th December 1974,David Schultz,,,
13036,Robert Evans,200 lbs. (91 kg) at 6'3'' (1.91 m),"Winnipeg, Manitoba (Canada)",19th October 1983 (age 38),10th February 2001 (21 years ago),RD Evans,,,
10937,Muhammed Lawal,205 lbs. (93 kg) at 6'0'' (1.83 m),"Murfreesboro, Tennessee (United States of America)",11th January 1981 (age 41),28th September 2008 (13 years ago),King Mo,,,
30625,Luis Martinez,251 lbs. (114 kg) at 6'7'' (2.01 m),"New York City, New York (United States of America)",26th September 1982 (age 39),,Damian Priest,,,
1535,Hassan Hamid Assad,252 lbs. (114 kg) at 6'0'' (1.83 m),"Miami, Florida (United States of America)",28th October 1973 (age 48),2001,MVP,,,
205,Joseph Anthnoy Muñoz,218 lbs. (99 kg) at 6'0'' (1.83 m),"Colorado Springs, Colorado (United States of America)",20th January 1979 (age 43),7th July 1995 (26 years ago),Kaos,,,
5992,Charles Santo,,"Chicago, Illinois (United States of America)",1985,2000,El Gringo Loco,,,
59,Michael Manna,227 lbs. (103 kg) at 6'2'' (1.88 m),"Philadelphia, Pennsylvania (United States of America)",9th October 1971 (age 50),25th February 1992 (30 years ago),Stevie Richards,,,
16065,Thomas Raymond Latimer,216 lbs. (98 kg) at 6'3'' (1.91 m),"Harrogate, North Yorkshire, England (United Kingdom)",6th August 1986 (age 35),2003,Thomas Latimer,,,
201,Christopher Wilson,206 lbs. (93 kg) at 5'10'' (1.78 m),"Yonkers, New York (United States of America)",1977,1998,Justice Pain,24th January 2020,,
995,Yuhi Sano,238 lbs. (108 kg) at 5'11'' (1.80 m),"Tomakomai, Hokkaido (Japan)",2nd February 1965 (age 57),3rd March 1984 (38 years ago),Takuma Sano,,,
305,Don Muraco,270 lbs. (122 kg) at 6'3'' (1.91 m),"Sunset Beach, Hawaii (United States of America)",10th September 1949 (age 72),1970,Don Muraco,,,
