,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height
1484,Raymond Louis Heenan,190 lbs. (86 kg) at 6'0'' (1.83 m),"Chicago, Illinois (United States of America)",1st November 1944,1965,Bobby Heenan,17th September 2017,
27,Mark William Calaway,299 lbs. (136 kg) at 6'9'' (2.06 m),"Houston, Texas (United States of America)",24th March 1965 (age 56),26th June 1987 (34 years ago),The Undertaker,,
3062,unknown,196 lbs. (89 kg) at 5'8'' (1.73 m),"Zacoalco de Torres, Jalisco (Mexico)",25th May 1956 (age 65),??th May 1975,Solar #1,,
18643,Kanako Urai,137 lbs. (62 kg) at 5'3'' (1.60 m),"Osaka, Osaka (Japan)",26th September 1981 (age 40),16th June 2004 (17 years ago),Asuka ,,
745,Mitsuharu Misawa,243 lbs. (110 kg) at 6'1'' (1.85 m),"Koshigaya, Saitama (Japan)",18th June 1962,21st August 1981 (40 years ago),Mitsuharu Misawa,13th June 2009,
13328,unknown,207 lbs. (94 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",26th February 1985 (age 36),,Penta El Zero Miedo,,
1120,Claudio Castagnoli,232 lbs. (105 kg) at 6'5'' (1.96 m),"Weggis, Luzern (Switzerland)",27th December 1980 (age 41),24th December 2000 (21 years ago),Cesaro,,
1215,Charles Istaz,245 lbs. (111 kg) at 6'1'' (1.85 m),"Antwerpen, Antwerpen, Vlaanderen (Belgium)",3rd August 1924,,Karl Gotch,28th July 2007,
363,Alejandro Muñoz Moreno,,"Monterrey, Nuevo León (Mexico)",24th April 1922,31st March 1948 (73 years ago),Blue Demon,16th December 2000,
944,Aloysius Martin Thesz,225 lbs. (102 kg) at 6'2'' (1.88 m),"St. Louis, Missouri (United States of America)",24th April 1916,5th April 1934 (87 years ago),Lou Thesz,28th April 2002,
9912,Howard Finkel,,"Newark, New Jersey (United States of America)",7th June 1950,1975,Howard Finkel,16th April 2020,5'8'' (1.73 m)
362,Esteban Mares Castañeda,176 lbs. (80 kg) at 5'6'' (1.68 m),"Guadalajara, Jalisco (Mexico)",3rd September 1952 (age 69),??th February 1975,Black Terry,,
9,Steve Austin,252 lbs. (114 kg) at 6'2'' (1.88 m),"Victoria, Texas (United States of America)",18th December 1964 (age 57),11th May 1989 (32 years ago),Steve Austin,,
469,Stewart Edward Hart,230 lbs. (104 kg) at 5'11'' (1.80 m),"Saskatoon, Saskatchewan (Canada)",3rd May 1915,1946,Stu Hart,16th October 2003,
1572,Miguel Calderón Navarro,198 lbs. (90 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",12th June 1957 (age 64),12th June 1975 (46 years ago),Negro Navarro,,
276,Keiji Muto,243 lbs. (110 kg) at 6'2'' (1.88 m),"Fujiyoshida, Yamanashi (Japan)",23rd December 1962 (age 59),5th October 1984 (37 years ago),Keiji Muto,,
286,Richard Henry Blood Jr.,235 lbs. (107 kg) at 5'10'' (1.78 m),"West Point, New York (United States of America)",28th February 1953 (age 68),1976,Ricky Steamboat,,
25,Bret Sergeant Hart,235 lbs. (107 kg) at 6'0'' (1.83 m),"Calgary, Alberta (Canada)",2nd July 1957 (age 64),1976,Bret Hart,,
959,Toshiaki Kawada,244 lbs. (111 kg) at 6'0'' (1.83 m),"Ashikaga, Tochigi (Japan)",8th December 1963 (age 58),4th October 1982 (39 years ago),Toshiaki Kawada,,
242,Eiji Ezaki,251 lbs. (114 kg) at 5'10'' (1.78 m),"Yatsushiro, Kumamoto (Japan)",29th November 1968,5th May 1991 (30 years ago),Hayabusa,3rd March 2016,
350,Allen Neal Jones,218 lbs. (99 kg) at 5'10'' (1.78 m),"Camp Lejeune, North Carolina (United States of America)",2nd June 1977 (age 44),1998,AJ Styles,,
1533,Tyson Smith,200 lbs. (91 kg) at 6'0'' (1.83 m),"Winnipeg, Manitoba (Canada)",16th October 1983 (age 38),??th February 2000,Kenny Omega,,
25693,Kaori Hosako,115 lbs. (52 kg) at 5'1'' (1.55 m),"Hikari, Yamaguchi (Japan)",23rd September 1988 (age 33),7th January 2012 (10 years ago),KAIRI ,,
234,Paul Heyman,234 lbs. (106 kg) at 5'11'' (1.80 m),"Scarsdale, New York (United States of America)",11th September 1965 (age 56),1986,Paul Heyman,,
1380,Manami Toyota,150 lbs. (68 kg) at 5'6'' (1.68 m),"Masuda, Shimane (Japan)",2nd March 1971 (age 50),5th August 1987 (34 years ago),Manami Toyota ,,
317,Bryan Lloyd Danielson,210 lbs. (95 kg) at 5'10'' (1.78 m),"Aberdeen, Washington (United States of America)",22nd May 1981 (age 40),4th October 1999 (22 years ago),Bryan Danielson,,
2144,Ricardo Amezquita Cardeño,170 lbs. (77 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",9th December 1968 (age 53),20th April 1986 (35 years ago),Virus,,
1567,José Casas Ruíz,168 lbs. (76 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",10th January 1960 (age 62),19th August 1979 (42 years ago),Negro Casas,,
2803,Guadalupe Olvera,130 lbs. (59 kg) at 5'3'' (1.60 m),"Nezahualcóyotl, Estado de México (Mexico)",9th September 1971 (age 50),??th December 1997,La Amapola ,,
18,Adam Joseph Copeland,240 lbs. (109 kg) at 6'5'' (1.96 m),"Orangeville, Ontario (Canada)",30th October 1973 (age 48),1st July 1992 (29 years ago),Edge,,
11,Kurt Steven Angle,220 lbs. (100 kg) at 5'10'' (1.78 m),"Pittsburgh, Pennsylvania (United States of America)",9th December 1968 (age 53),20th August 1998 (23 years ago),Kurt Angle,,
2581,Manuel Alfonso Andrade Oropeza,210 lbs. (95 kg) at 5'11'' (1.80 m),"Gómez Palacio, Durango (Mexico)",3rd November 1989 (age 32),3rd October 2003 (18 years ago),Andrade El Ídolo,,
15571,Masami Odate,119 lbs. (54 kg) at 5'1'' (1.55 m),"Kamakura, Kanagawa (Japan)",8th May 1990 (age 31),4th March 2007 (14 years ago),Io Shirai ,,
96,Randall Mario Poffo,248 lbs. (112 kg) at 6'2'' (1.88 m),"Columbus, Ohio (United States of America)",15th November 1952,1973,Randy Savage,20th May 2011,
1222,José Gutiérrez Hernández,210 lbs. (95 kg) at 5'8'' (1.73 m),"Gómez Palacio, Durango (Mexico)",1st March 1972 (age 49),??th September 1990,Último Guerrero,,
310,Edward Wladyslaw Spulnik,290 lbs. (132 kg) at 6'7'' (2.01 m),"Windsor, Ontario (Canada)",13th October 1926,1944,Killer Kowalski,30th August 2008,
60,Owen James Hart,227 lbs. (103 kg) at 5'11'' (1.80 m),"Calgary, Alberta (Canada)",7th May 1965,1983,Owen Hart,23rd May 1999,
1863,Megumi Takayama,132 lbs. (60 kg) at 5'4'' (1.63 m),"Koshigaya, Saitama (Japan)",20th September 1969 (age 52),8th August 1986 (35 years ago),Megumi Kudo ,,
