,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
1484,Raymond Louis Heenan,190 lbs. (86 kg) at 6'0'' (1.83 m),"Chicago, Illinois (United States of America)",1st November 1944,1965,Bobby Heenan,17th September 2017,,
27,Mark William Calaway,299 lbs. (136 kg) at 6'9'' (2.06 m),"Houston, Texas (United States of America)",24th March 1965 (age 56),26th June 1987 (34 years ago),The Undertaker,,,
3062,unknown,196 lbs. (89 kg) at 5'8'' (1.73 m),"Zacoalco de Torres, Jalisco (Mexico)",25th May 1956 (age 65),??th May 1975,Solar #1,,,
18643,Kanako Urai,137 lbs. (62 kg) at 5'3'' (1.60 m),"Osaka, Osaka (Japan)",26th September 1981 (age 40),16th June 2004 (17 years ago),Asuka ,,,
745,Mitsuharu Misawa,243 lbs. (110 kg) at 6'1'' (1.85 m),"Koshigaya, Saitama (Japan)",18th June 1962,21st August 1981 (40 years ago),Mitsuharu Misawa,13th June 2009,,
13328,unknown,207 lbs. (94 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",26th February 1985 (age 37),,Penta El Zero Miedo,,,
1120,Claudio Castagnoli,232 lbs. (105 kg) at 6'5'' (1.96 m),"Weggis, Luzern (Switzerland)",27th December 1980 (age 41),24th December 2000 (21 years ago),Claudio Castagnoli,,,
1215,Charles Istaz,245 lbs. (111 kg) at 6'1'' (1.85 m),"Antwerpen, Antwerpen, Vlaanderen (Belgium)",3rd August 1924,,Karl Gotch,28th July 2007,,
363,Alejandro Muñoz Moreno,,"Monterrey, Nuevo León (Mexico)",24th April 1922,31st March 1948 (73 years ago),Blue Demon,16th December 2000,,
944,Aloysius Martin Thesz,225 lbs. (102 kg) at 6'2'' (1.88 m),"St. Louis, Missouri (United States of America)",24th April 1916,5th April 1934 (87 years ago),Lou Thesz,28th April 2002,,
9912,Howard Finkel,,"Newark, New Jersey (United States of America)",7th June 1950,1975,Howard Finkel,16th April 2020,5'8'' (1.73 m),
362,Esteban Mares Castañeda,176 lbs. (80 kg) at 5'6'' (1.68 m),"Guadalajara, Jalisco (Mexico)",3rd September 1952 (age 69),??th February 1975,Black Terry,,,
9,Steve Austin,252 lbs. (114 kg) at 6'2'' (1.88 m),"Victoria, Texas (United States of America)",18th December 1964 (age 57),11th May 1989 (32 years ago),Steve Austin,,,
469,Stewart Edward Hart,230 lbs. (104 kg) at 5'11'' (1.80 m),"Saskatoon, Saskatchewan (Canada)",3rd May 1915,1946,Stu Hart,16th October 2003,,
1572,Miguel Calderón Navarro,198 lbs. (90 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",12th June 1957 (age 64),12th June 1975 (46 years ago),Negro Navarro,,,
276,Keiji Muto,243 lbs. (110 kg) at 6'2'' (1.88 m),"Fujiyoshida, Yamanashi (Japan)",23rd December 1962 (age 59),5th October 1984 (37 years ago),Keiji Muto,,,
286,Richard Henry Blood Jr.,235 lbs. (107 kg) at 5'10'' (1.78 m),"West Point, New York (United States of America)",28th February 1953 (age 69),1976,Ricky Steamboat,,,
25,Bret Sergeant Hart,235 lbs. (107 kg) at 6'0'' (1.83 m),"Calgary, Alberta (Canada)",2nd July 1957 (age 64),1976,Bret Hart,,,
959,Toshiaki Kawada,244 lbs. (111 kg) at 6'0'' (1.83 m),"Ashikaga, Tochigi (Japan)",8th December 1963 (age 58),4th October 1982 (39 years ago),Toshiaki Kawada,,,
242,Eiji Ezaki,251 lbs. (114 kg) at 5'10'' (1.78 m),"Yatsushiro, Kumamoto (Japan)",29th November 1968,5th May 1991 (30 years ago),Hayabusa,3rd March 2016,,
1533,Tyson Smith,200 lbs. (91 kg) at 6'0'' (1.83 m),"Winnipeg, Manitoba (Canada)",16th October 1983 (age 38),??th February 2000,Kenny Omega,,,
25693,Kaori Hosako,115 lbs. (52 kg) at 5'1'' (1.55 m),"Hikari, Yamaguchi (Japan)",23rd September 1988 (age 33),7th January 2012 (10 years ago),KAIRI ,,,
234,Paul Heyman,234 lbs. (106 kg) at 5'11'' (1.80 m),"Scarsdale, New York (United States of America)",11th September 1965 (age 56),1986,Paul Heyman,,,
1380,Manami Toyota,150 lbs. (68 kg) at 5'6'' (1.68 m),"Masuda, Shimane (Japan)",2nd March 1971 (age 51),5th August 1987 (34 years ago),Manami Toyota ,,,
350,Allen Neal Jones,218 lbs. (99 kg) at 5'10'' (1.78 m),"Camp Lejeune, North Carolina (United States of America)",2nd June 1977 (age 44),1998,AJ Styles,,,
317,Bryan Lloyd Danielson,210 lbs. (95 kg) at 5'10'' (1.78 m),"Aberdeen, Washington (United States of America)",22nd May 1981 (age 40),4th October 1999 (22 years ago),Bryan Danielson,,,
2144,Ricardo Amezquita Cardeño,170 lbs. (77 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",9th December 1968 (age 53),20th April 1986 (35 years ago),Virus,,,
1567,José Casas Ruíz,168 lbs. (76 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",10th January 1960 (age 62),19th August 1979 (42 years ago),Negro Casas,,,
2803,Guadalupe Olvera,130 lbs. (59 kg) at 5'3'' (1.60 m),"Nezahualcóyotl, Estado de México (Mexico)",9th September 1971 (age 50),??th December 1997,La Amapola ,,,
18,Adam Joseph Copeland,240 lbs. (109 kg) at 6'5'' (1.96 m),"Orangeville, Ontario (Canada)",30th October 1973 (age 48),1st July 1992 (29 years ago),Edge,,,
11,Kurt Steven Angle,220 lbs. (100 kg) at 5'10'' (1.78 m),"Pittsburgh, Pennsylvania (United States of America)",9th December 1968 (age 53),20th August 1998 (23 years ago),Kurt Angle,,,
2581,Manuel Alfonso Andrade Oropeza,210 lbs. (95 kg) at 5'11'' (1.80 m),"Gómez Palacio, Durango (Mexico)",3rd November 1989 (age 32),3rd October 2003 (18 years ago),Andrade El Ídolo,,,
15571,Masami Odate,119 lbs. (54 kg) at 5'1'' (1.55 m),"Kamakura, Kanagawa (Japan)",8th May 1990 (age 31),4th March 2007 (15 years ago),Io Shirai ,,,
96,Randall Mario Poffo,248 lbs. (112 kg) at 6'2'' (1.88 m),"Columbus, Ohio (United States of America)",15th November 1952,1973,Randy Savage,20th May 2011,,
1222,José Gutiérrez Hernández,210 lbs. (95 kg) at 5'8'' (1.73 m),"Gómez Palacio, Durango (Mexico)",1st March 1972 (age 50),??th September 1990,Último Guerrero,,,
310,Edward Wladyslaw Spulnik,290 lbs. (132 kg) at 6'7'' (2.01 m),"Windsor, Ontario (Canada)",13th October 1926,1944,Killer Kowalski,30th August 2008,,
60,Owen James Hart,227 lbs. (103 kg) at 5'11'' (1.80 m),"Calgary, Alberta (Canada)",7th May 1965,1983,Owen Hart,23rd May 1999,,
1863,Megumi Takayama,132 lbs. (60 kg) at 5'4'' (1.63 m),"Koshigaya, Saitama (Japan)",20th September 1969 (age 52),8th August 1986 (35 years ago),Megumi Kudo ,,,
968,Nobuhiko Oshima,181 lbs. (82 kg) at 5'9'' (1.75 m),"Sakai, Osaka (Japan)",15th November 1977 (age 44),11th May 1997 (24 years ago),CIMA,,,
2412,Mario Balbuena González,190 lbs. (86 kg) at 5'6'' (1.68 m),"Ciudad de México, Ciudad de México (Mexico)",16th April 1959,8th August 1975 (46 years ago),Gran Apache,7th May 2017,,
5462,Trevor Mann,170 lbs. (77 kg) at 5'10'' (1.78 m),"Paducah, Kentucky (United States of America)",11th October 1988 (age 33),11th October 2003 (18 years ago),Ricochet,,,
26,Steve James Borden,252 lbs. (114 kg) at 6'3'' (1.91 m),"Omaha, Nebraska (United States of America)",20th March 1959 (age 62),??th November 1985,Sting,,,
515,Shinsuke Nakamura,229 lbs. (104 kg) at 6'2'' (1.88 m),"Kyotango, Kyoto (Japan)",24th February 1980 (age 42),29th August 2002 (19 years ago),Shinsuke Nakamura,,,
560,Kevin Yanick Steen,266 lbs. (121 kg) at 5'10'' (1.78 m),"Saint-Jean-sur-Richelieu, Quebec (Canada)",7th May 1984 (age 37),7th May 2000 (21 years ago),Kevin Owens,,,
761,Kenta Kobayashi,187 lbs. (85 kg) at 5'9'' (1.75 m),"Soka, Saitama (Japan)",12th March 1981 (age 41),11th March 2000 (22 years ago),KENTA,,,
705,Renato Ruiz Cortez,174 lbs. (79 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",9th March 1977 (age 45),1994,El Averno,,,
1051,Katsuyori Shibata,209 lbs. (95 kg) at 6'0'' (1.83 m),"Kuwana, Mie (Japan)",17th November 1979 (age 42),21st July 1999 (22 years ago),Katsuyori Shibata,,,
6948,Georges St-Pierre,170 lbs. (77 kg) at 5'11'' (1.80 m),"Saint-Isidore, Quebec (Canada)",19th May 1981 (age 40),25th January 2002 (20 years ago),Georges St-Pierre,,,
2440,Ryuji Ito,209 lbs. (95 kg) at 6'1'' (1.85 m),"Iwate, Iwate (Japan)",8th April 1976 (age 45),29th April 1999 (22 years ago),Ryuji Ito,,,
7,Dwayne Johnson,270 lbs. (122 kg) at 6'4'' (1.93 m),"Hayward, California (United States of America)",2nd May 1972 (age 49),1995,The Rock,,,
2325,Colby Daniel López,217 lbs. (98 kg) at 6'1'' (1.85 m),"Davenport, Iowa (United States of America)",28th May 1986 (age 35),22nd January 2005 (17 years ago),Seth Rollins,,,
2896,unknown,160 lbs. (73 kg) at 5'7'' (1.70 m),"Tijuana, Baja California (Mexico)",30th May 1974 (age 47),30th May 1996 (25 years ago),El Valiente,,,
313,Phillip Jack Brooks,185 lbs. (84 kg) at 6'2'' (1.88 m),"Chicago, Illinois (United States of America)",26th October 1978 (age 43),1999,CM Punk,,,
1729,Takeshi Shiozaki,220 lbs. (100 kg) at 6'0'' (1.83 m),"Kumamoto, Kumamoto (Japan)",21st January 1982 (age 40),26th June 2004 (17 years ago),Go Shiozaki,,,
586,Steven Haworth,220 lbs. (100 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",23rd January 1976 (age 46),??th September 1999,Nigel McGuinness,,,
1763,Eugene Arthur Okerlund,213 lbs. (97 kg) at 5'9'' (1.75 m),"Robbinsdale, Minnesota (United States of America)",29th November 1942,1974,Gene Okerlund,2nd January 2019,,
17005,unknown,176 lbs. (80 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",30th December 1990 (age 31),19th April 2005 (16 years ago),Rey Fénix,,,
1007,Thomas Billington,228 lbs. (103 kg) at 5'8'' (1.73 m),"Golborne, Greater Manchester, England (United Kingdom)",5th December 1958,1975,Dynamite Kid,5th December 2018,,
1520,Katsuhiko Nakajima,181 lbs. (82 kg) at 5'9'' (1.75 m),"Fukuoka, Fukuoka (Japan)",11th March 1988 (age 34),6th September 2003 (18 years ago),Katsuhiko Nakajima,,,
51,Leon Allen White,456 lbs. (207 kg) at 6'4'' (1.93 m),"Denver, Colorado (United States of America)",14th May 1955,1983,Vader,18th June 2018,,
36,Terrance Funk,247 lbs. (112 kg) at 6'1'' (1.85 m),"Hammond, Indiana (United States of America)",30th June 1944 (age 77),6th December 1965 (56 years ago),Terry Funk,,,
1350,Masanori Murakawa,187 lbs. (85 kg) at 5'8'' (1.73 m),"Morioka, Iwate (Japan)",7th July 1969 (age 52),1st March 1990 (32 years ago),The Great Sasuke,,,
243,Jun Kasai,210 lbs. (95 kg) at 5'9'' (1.75 m),"Obihiro, Hokkaido (Japan)",9th September 1974 (age 47),23rd August 1998 (23 years ago),Jun Kasai,,,
554,Daniel Healy Solwold Jr.,202 lbs. (92 kg) at 5'9'' (1.75 m),"Milwaukee, Wisconsin (United States of America)",15th April 1978 (age 43),25th November 2000 (21 years ago),Austin Aries,,,
3366,Yutaka Miyamoto,176 lbs. (80 kg) at 5'9'' (1.75 m),"Hatsukaichi, Hiroshima (Japan)",25th May 1982 (age 39),2nd August 2003 (18 years ago),Yuko Miyamoto,,,
2162,Fergal Devitt,190 lbs. (86 kg) at 5'11'' (1.80 m),"Bray, Wicklow (Ireland)",25th July 1981 (age 40),??th June 2000,Finn Bálor,,,
7739,Gina Joy Carano,145 lbs. (66 kg) at 5'8'' (1.73 m),Texas (United States of America),16th April 1982 (age 39),10th June 2006 (15 years ago),Gina Carano ,,,
17574,unknown,125 lbs. (57 kg) at 5'5'' (1.65 m),Kanagawa (Japan),11th June 1988 (age 33),20th July 2008 (13 years ago),Hikaru Shida ,,,
3093,Luis Madrid Polanco,175 lbs. (79 kg) at 5'8'' (1.73 m),"Heroica Puebla de Zaragoza, Puebla (Mexico)",5th December ???,,Centella de Oro,,,
2018,Meiko Satomura,145 lbs. (66 kg) at 5'2'' (1.57 m),"Niigata, Niigata (Japan)",17th November 1979 (age 42),15th April 1995 (26 years ago),Meiko Satomura ,,,
543,Koji Kanemoto,198 lbs. (90 kg) at 5'11'' (1.80 m),"Kobe, Hyogo (Japan)",31st October 1966 (age 55),7th November 1990 (31 years ago),Koji Kanemoto,,,
1934,Sara Amato,155 lbs. (70 kg) at 5'10'' (1.78 m),"Martinez, California (United States of America)",13th November 1980 (age 41),2001,Sara Amato ,,,
877,Tomomi Tsuruta,279 lbs. (127 kg) at 6'4'' (1.93 m),"Yamanashi, Yamanashi (Japan)",25th March 1951,24th March 1973 (48 years ago),Jumbo Tsuruta,13th May 2000,,
5702,unknown,154 lbs. (70 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",12th December 1982 (age 39),13th June 2002 (19 years ago),Trauma #2,,,
1327,María Elena Santamaría Gómez,132 lbs. (60 kg) at 5'1'' (1.55 m),"Ciudad de México, Ciudad de México (Mexico)",31st May 1971 (age 50),1987,Marcela ,,,
7298,Fedor Vladimirovich Emelianenko,235 lbs. (107 kg) at 6'0'' (1.83 m),Rubischne (Ukraine),28th September 1976 (age 45),16th August 2000 (21 years ago),Fedor Emelianenko,,,
1583,Daisuke Sekimoto,242 lbs. (110 kg) at 5'9'' (1.75 m),"Osaka, Osaka (Japan)",19th February 1981 (age 41),10th August 1999 (22 years ago),Daisuke Sekimoto,,,
437,William Alvin Moody,250 lbs. (113 kg) at 5'10'' (1.78 m),"Mobile, Alabama (United States of America)",10th April 1954,??th June 1974,Paul Bearer,5th March 2013,,
20,Michael Francis Foley,270 lbs. (122 kg) at 6'2'' (1.88 m),"Bloomington, Indiana (United States of America)",7th June 1965 (age 56),23rd June 1986 (35 years ago),Mick Foley,,,
130,Patricia Anne Stratigias,125 lbs. (57 kg) at 5'4'' (1.63 m),"Toronto, Ontario (Canada)",18th December 1975 (age 46),14th March 2000 (22 years ago),Trish Stratus ,,,
1241,Candice Gargano,110 lbs. (50 kg) at 5'2'' (1.57 m),"Riverside, California (United States of America)",29th September 1985 (age 36),2002,Candice LeRae ,,,
1195,Mariko Yoshida,140 lbs. (64 kg) at 5'4'' (1.63 m),"Onomichi, Hiroshima (Japan)",15th February 1970 (age 52),10th October 1988 (33 years ago),Mariko Yoshida ,,,
452,Patrick Martin,205 lbs. (93 kg) at 5'10'' (1.78 m),"Detroit, Michigan (United States of America)",23rd May 1983 (age 38),2nd March 2002 (20 years ago),Alex Shelley,,,
246,Masato Tanaka,235 lbs. (107 kg) at 5'11'' (1.80 m),"Wakayama, Wakayama (Japan)",28th February 1973 (age 49),23rd July 1993 (28 years ago),Masato Tanaka,,,
407,Harley Leland Race,245 lbs. (111 kg) at 6'1'' (1.85 m),"Maryville, Missouri (United States of America)",11th April 1943,1960,Harley Race,1st August 2019,,
7289,Anderson da Silva,185 lbs. (84 kg) at 6'2'' (1.88 m),"Curitiba, Paraná (Brazil)",14th April 1975 (age 46),27th May 2000 (21 years ago),Anderson Silva,,,
5944,Édouard Ignacz Weiczorkiewicz,230 lbs. (104 kg) at 5'10'' (1.78 m),"Roanne, Auvergne-Rhône-Alpes (France)",17th July 1926,,Édouard Carpentier,30th October 2010,,
771,Jun Akiyama,243 lbs. (110 kg) at 6'2'' (1.88 m),"Izumi, Osaka (Japan)",9th October 1969 (age 52),17th September 1992 (29 years ago),Jun Akiyama,,,
1817,Robert Herman Julius Friedrich,265 lbs. (120 kg) at 5'10'' (1.78 m),"Nekoosa, Wisconsin (United States of America)",30th June 1890,1905,Ed Lewis,8th August 1966,,
293,Theodore Marvin DiBiase,290 lbs. (132 kg) at 6'3'' (1.91 m),"Omaha, Nebraska (United States of America)",18th January 1954 (age 68),7th June 1974 (47 years ago),Ted DiBiase,,,
3076,Juan Zezatti Ramírez,191 lbs. (87 kg) at 5'3'' (1.60 m),"Tijuana, Baja California (Mexico)",1st October 1961 (age 60),??th May 1974,Súper Astro,,,
355,Michael G. Spillane,191 lbs. (87 kg) at 6'0'' (1.83 m),"West Lawn, Pennsylvania (United States of America)",18th March 1976 (age 46),20th May 1994 (27 years ago),Mike Quackenbush,,,
14770,Peter William Koch,,Germany,13th September 1935,,Peter William,11th December 2018,,
4461,Mario Pardo Villagómez,190 lbs. (86 kg) at 5'9'' (1.75 m),"Casas Grandes, Chihuahua (Mexico)",14th February 1986 (age 36),12th December 1995 (26 years ago),AK 47,,,
928,Satoshi Kojima,247 lbs. (112 kg) at 6'0'' (1.83 m),"Katsuyama, Fukui (Japan)",14th September 1970 (age 51),16th July 1991 (30 years ago),Satoshi Kojima,,,
3605,Joseph James Stecher,220 lbs. (100 kg) at 6'1'' (1.85 m),"Dodge, Nebraska (United States of America)",4th April 1893,1912,Joe Stecher,29th April 1974,,
10764,Shuri Kondo,112 lbs. (51 kg) at 5'5'' (1.65 m),"Ebina, Kanagawa (Japan)",8th February 1989 (age 33),26th October 2008 (13 years ago),Shuri ,,,
1132,Richard John Beyer,225 lbs. (102 kg) at 5'10'' (1.78 m),"Buffalo, New York (United States of America)",11th July 1930,1954,The Destroyer,7th March 2019,,
621,Fabiola Balbuena Torres,143 lbs. (65 kg) at 5'3'' (1.60 m),"Ciudad de México, Ciudad de México (Mexico)",26th December 1980 (age 41),15th October 1995 (26 years ago),Fabi Apache ,,,
15891,Arisa Nakajima,130 lbs. (59 kg) at 5'3'' (1.60 m),"Chichibu, Saitama (Japan)",6th April 1989 (age 32),3rd January 2006 (16 years ago),Arisa Nakajima ,,,
3243,Vincent James McMahon,,"New York City, New York (United States of America)",6th July 1914,1935,Vince McMahon,24th May 1984,,
81,Scott Charles Bigelow,325 lbs. (147 kg) at 6'3'' (1.91 m),"Asbury Park, New Jersey (United States of America)",1st September 1961,23rd August 1985 (36 years ago),Bam Bam Bigelow,19th January 2007,,
62,Daniel Christopher Covell,232 lbs. (105 kg) at 5'10'' (1.78 m),"Fayetteville, North Carolina (United States of America)",24th March 1970 (age 51),1993,Christopher Daniels,,,
15339,Mauro Domenico Antonio Ranallo,,"Abbotsford, British Columbia (Canada)",21st December 1969 (age 52),1986,Mauro Ranallo,,5'9'' (1.75 m),
1138,John Stanley Hansen Jr.,322 lbs. (146 kg) at 6'2'' (1.88 m),"Borger, Texas (United States of America)",29th August 1949 (age 72),1st January 1973 (49 years ago),Stan Hansen,,,
1246,George Raymond Wagner,210 lbs. (95 kg) at 5'9'' (1.75 m),"Seward, Nebraska (United States of America)",24th March 1915,1929,Gorgeous George,26th December 1963,,
1784,Rebecca Quin,135 lbs. (61 kg) at 5'6'' (1.68 m),"Limerick, Limerick (Ireland)",30th January 1987 (age 35),11th November 2002 (19 years ago),Becky Lynch ,,,
899,Sergio Emilio Charles Garduño,196 lbs. (89 kg) at 5'9'' (1.75 m),"Monterrey, Nuevo León (Mexico)",12th October 1957,??th February 1980,Emilio Charles Jr.,27th December 2012,,
306,Bruno Laopardo Francesco Sammartino,260 lbs. (118 kg) at 6'1'' (1.85 m),"Pizzoferrato, Abruzzo (Italy)",6th October 1935,1959,Bruno Sammartino,18th April 2018,,
568,Rami Sebei,180 lbs. (82 kg) at 5'11'' (1.80 m),"Montréal, Quebec (Canada)",12th July 1984 (age 37),1st March 2002 (20 years ago),Sami Zayn,,,
3099,unknown,190 lbs. (86 kg) at 5'9'' (1.75 m),"Gómez Palacio, Durango (Mexico)",17th July 1979 (age 42),,Stuka Jr.,,,
1334,unknown,198 lbs. (90 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",10th December 1968 (age 53),??th July 1988,El Mephisto,,,
309,LaVerne Clarence Gagne,215 lbs. (98 kg) at 5'11'' (1.80 m),"Robbinsdale, Minnesota (United States of America)",26th February 1926,1949,Verne Gagne,27th April 2015,,
1288,Georg Karl Julius Hackenschmidt,230 lbs. (104 kg) at 6'0'' (1.83 m),Tartu (Estonia),20th July 1878,??th September 1896,George Hackenschmidt,19th February 1968,,
436,Joshua Harter,207 lbs. (94 kg) at 5'10'' (1.78 m),"Detroit, Michigan (United States of America)",4th February 1982 (age 40),2000,Chris Sabin,,,
6705,Charles David Liddell,205 lbs. (93 kg) at 6'2'' (1.88 m),"Santa Barbara, California (United States of America)",17th December 1969 (age 52),15th May 1998 (23 years ago),Chuck Liddell,,,
972,Masato Yoshino,159 lbs. (72 kg) at 5'8'' (1.73 m),"Higashiosaka, Osaka (Japan)",17th July 1980 (age 41),2nd September 2000 (21 years ago),Masato Yoshino,,,
3795,Eric Maher,223 lbs. (101 kg) at 5'11'' (1.80 m),"Boston, Massachusetts (United States of America)",30th December 1983 (age 38),2000,Eddie Edwards,,,
1825,Steffen Leichsenring,201 lbs. (91 kg) at 6'1'' (1.85 m),"Meerane, Sachsen (Germany)",2nd September 1983 (age 38),19th October 2002 (19 years ago),Steve Douglas,,,
4467,José Ángel Bocanegra González,185 lbs. (84 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",7th February 1981 (age 41),2001,911,,,
7418,unknown,99 lbs. (45 kg) at 5'0'' (1.52 m),New York (United States of America),,2007,Angel Dust ,,,
18607,Cathy I. Pike,135 lbs. (61 kg) at 5'6'' (1.68 m),,14th January 1982 (age 40),,Mistress Belmont ,,,
932,Nuufolau Joel  Seanoa,282 lbs. (128 kg) at 6'2'' (1.88 m),"Huntington Beach, California (United States of America)",17th March 1979 (age 43),??th September 1999,Samoa Joe,,,
571,Juan Manuel González Barrón,216 lbs. (98 kg) at 5'9'' (1.75 m),"Torreón, Coahuila de Zaragoza (Mexico)",12th August 1965 (age 56),7th April 1986 (35 years ago),Dr. Wagner Jr.,,,
24,Christopher Michael Benoit,220 lbs. (100 kg) at 5'11'' (1.80 m),"Montréal, Quebec (Canada)",21st May 1967,22nd November 1985 (36 years ago),Chris Benoit,24th June 2007,,
2911,Daniel Núñez Hernández,198 lbs. (90 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",11th January 1977 (age 45),??th February 1997,El Cancerbero,,,
10076,Masaharu Funaki,205 lbs. (93 kg) at 6'0'' (1.83 m),Aomori (Japan),13th March 1969 (age 53),3rd March 1985 (37 years ago),Masakatsu Funaki,,,
235,James Ross,258 lbs. (117 kg) at 5'9'' (1.75 m),"Westville, Oklahoma (United States of America)",3rd January 1952 (age 70),1974,Jim Ross,,,
19344,unknown,110 lbs. (50 kg) at 5'4'' (1.63 m),"Mine, Yamaguchi (Japan)",19th February 1993 (age 29),23rd January 2011 (11 years ago),Mayu Iwatani ,,,
13075,April Jeanette Brooks,115 lbs. (52 kg) at 5'2'' (1.57 m),"Union City, New Jersey (United States of America)",19th March 1987 (age 34),29th September 2007 (14 years ago),AJ Lee ,,,
922,James George Janos,245 lbs. (111 kg) at 6'4'' (1.93 m),"Minneapolis, Minnesota (United States of America)",15th July 1951 (age 70),14th April 1975 (46 years ago),Jesse Ventura,,,
1513,Andrés Durán Reyes,211 lbs. (96 kg) at 5'9'' (1.75 m),"Paredón, Coahuila de Zaragoza (Mexico)",30th November 1951 (age 70),??th July 1973,Sangre Chicana,,,
2606,Benjamin Satterly,194 lbs. (88 kg) at 5'10'' (1.78 m),"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",22nd August 1986 (age 35),27th March 2004 (17 years ago),PAC,,,
2809,unknown,198 lbs. (90 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",8th February 1973 (age 49),1996,Raziel,,,
1891,Frank Albert Gotch,200 lbs. (91 kg) at 6'0'' (1.83 m),"Humboldt, Iowa (United States of America)",27th April 1877,2nd April 1899 (122 years ago),Frank Gotch,16th December 1917,,
134,Martin Anthony Lunde,255 lbs. (116 kg) at 6'1'' (1.85 m),"Rome, Georgia (United States of America)",20th September 1958 (age 63),1981,Arn Anderson,,,
13690,Bruce Anthony Buffer,,"Tulsa, Oklahoma (United States of America)",21st May 1959 (age 62),16th February 1996 (26 years ago),Bruce Buffer,,,
624,Masami Nakao,132 lbs. (60 kg) at 5'0'' (1.52 m),"Tokyo, Tokyo (Japan)",15th September 1973 (age 48),11th April 1992 (29 years ago),Chaparrita ASARI ,,,
1753,Sherri Schrull,132 lbs. (60 kg) at 5'7'' (1.70 m),"Birmingham, Alabama (United States of America)",8th February 1958,1980,Sensational Sherri ,15th June 2007,,
2277,Ramón Ibarra Rivera,170 lbs. (77 kg) at 5'7'' (1.70 m),"Monclova, Coahuila de Zaragoza (Mexico)",26th January 1981 (age 41),??th October 1997,Volador Jr.,,,
1045,Shin'ya Hashimoto,298 lbs. (135 kg) at 6'0'' (1.83 m),"Toki, Gifu (Japan)",3rd July 1965,1st September 1984 (37 years ago),Shin'ya Hashimoto,11th July 2005,,
