,Real Name,Birthplace,Date of Birth,Date of Death,wrestler_name,Debut,Weight,Weight and Height,Height
7030,unknown,,,,Chris Hybrid,,,,
7031,unknown,"Anamosa, Iowa (United States of America)",,,Matt Mayday,,,139 lbs. (63 kg) at 6'0'' (1.83 m),
7032,unknown,,,,Dan Lawrence,,,,
7033,unknown,"Des Moines, Iowa (United States of America)",,,Hunter Matthews,,,194 lbs. (88 kg) at 6'0'' (1.83 m),
7034,unknown,,,,Dash Phoenix,,,,
7035,unknown,,,,Tweek Phoenix,,,,
7036,unknown,,,,Derek St. Holmes,,,,
7037,unknown,,,,Jayson Reign,,,,
7038,unknown,,,,Tony Scarpone,,,,
7041,unknown,,,,Javi Air,,,175 lbs. (79 kg) at 5'9'' (1.75 m),
7043,unknown,"Vineland, New Jersey (United States of America)",,,LJ Cruz,,,175 lbs. (79 kg) at 5'9'' (1.75 m),
7047,Ramón S. Torres,"Santa Ana, California (United States of America)",13th January 1932,25th August 2000,Ramón Torres,,,,
7048,unknown,Canada,1931,,Nick Kozak,,,247 lbs. (112 kg) at 6'1'' (1.85 m),
7049,unknown,,,5th March 2014,Jerry Kozak,,,,
7050,unknown,California (United States of America),,??th February 2015,Tito Carreon,,,,
7051,unknown,"San Antonio, Texas (United States of America)",,,Henry Lenz,,,,
7054,George Thompson,"Savannah, Georgia (United States of America)",22nd October 1939,4th March 2017,Tom Jones,1964,,235 lbs. (107 kg) at 5'11'' (1.80 m),
7056,Wayne Ermatinger,,21st February 1954,11th January 2019,Mike Hammer,1st May 1976 (45 years ago),,,
7057,unknown,,,,Phil Mercado,,,,
7059,Franz Van Buyten,Belgium,31st August 1938,7th February 2020,Franz Van Buyten,1960,,225 lbs. (102 kg) at 6'0'' (1.83 m),
7060,William Johnson,"Hartford, Connecticut (United States of America)",,,Bobby Ocean,,,169 lbs. (77 kg) at 5'8'' (1.73 m),
7061,Edward J. Avery,,,,Avil Graves,,,,
7063,Jeremy Barron,"Bethesda, Maryland (United States of America)",,,Dr. Reginald Heresey,,,240 lbs. (109 kg) at 6'1'' (1.85 m),
7064,unknown,,,,Nurse Kiki van Dyke,,,,
7065,unknown,,,,Del Tsunami,,,,
7066,unknown,,,,Jim Sullivan,,,,
7067,unknown,,,,Chris Mooch,,,,
7068,unknown,,,,Frankie Arion,,,,
7069,unknown,"Schenectady, New York (United States of America)",16th February 1984 (age 38),, Lenn Oddity,,,,
7070,unknown,"Shelton, Connecticut (United States of America)",15th October 1980 (age 41),,Nocturne,,,189 lbs. (86 kg) at 5'10'' (1.78 m),
7071,Ray Urner,"Beaumont, Texas (United States of America)",,,Ray Brooks,3rd October 1997 (24 years ago),,185 lbs. (84 kg) at 5'11'' (1.80 m),
7072,Jared Ganem,"Minneapolis, Minnesota (United States of America)",,,Jaleel Salaam,2001,,209 lbs. (95 kg) at 6'1'' (1.85 m),
7073,Kurt Juszczyk,"Bristol, Connecticut (United States of America)",18th February 1979 (age 43),,Kurt Adonis,??th February 1999,,220 lbs. (100 kg) at 6'2'' (1.88 m),
7074,unknown,Batangas City (Philippines),,,Tony Tisoy,,,222 lbs. (101 kg) at 5'11'' (1.80 m),
7075,unknown,"Abbotsford, British Columbia (Canada)",,,Danni Deeds,15th December 2007 (14 years ago),,151 lbs. (68 kg) at 5'11'' (1.80 m),
7076,unknown,"Abbotsford, British Columbia (Canada)",,,Todd Quality,15th December 2007 (14 years ago),,215 lbs. (98 kg) at 6'2'' (1.88 m),
7077,unknown,"Port Coquitlam, British Columbia (Canada)",,,Jamie Díaz,15th December 2007 (14 years ago),,185 lbs. (84 kg) at 6'1'' (1.85 m),
7078,unknown,,,,Acid,,,,
7079,John Wagner,,,,Synn,,,,
7082,unknown,,,,Jake O'Neill,,,,
7084,unknown,,,,Jay Jensen,,,,
7085,unknown,,,,JD Hughes,,,,
7086,unknown,"Grand Rapids, Michigan (United States of America)",6th May 1983 (age 38),,Jeff King,??th November 2000,,167 lbs. (76 kg) at 5'11'' (1.80 m),
7087,unknown,"New York City, New York (United States of America)",,,Kimberly Kash ,??th September 2006,,120 lbs. (54 kg) at 5'5'' (1.65 m),
7090,unknown,,,,Troy Walters,,,,
7092,unknown,"Belhaven, North Carolina (United States of America)",4th December ???,,Kameo ,,,130 lbs. (59 kg) at 5'8'' (1.73 m),
7093,Vanessa Douglas,"Hamilton, Ontario (Canada)",23rd September 1990 (age 31),,Sabrina Kyle ,??th December 2005,,145 lbs. (66 kg) at 5'8'' (1.73 m),
7094,Edward Ethefier,Martinique,1936,,Eddie Morrow,,,238 lbs. (108 kg) at 5'10'' (1.78 m),
7095,Sylvia June Lantagne,,28th March 1942,9th April 1996,Betty Clarke ,,,,
7096,Paulla Kaye Collier,"Duncan, Oklahoma (United States of America)",4th January 1948,6th February 2018,Paula Kaye ,,,139 lbs. (63 kg) at 5'7'' (1.70 m),
7099,Marshall Wallace Esteppe,"Centralia, Missouri (United States of America)",1st March 1909,18th January 1989,Marshall Esteppe,1932,,198 lbs. (90 kg) at 5'9'' (1.75 m),
7100,Everette Oldham Marshall,"La Junta, Colorado (United States of America)",5th November 1905,10th February 1973,Everett Marshall,??th February 1929,,225 lbs. (102 kg) at 5'11'' (1.80 m),
7103,unknown,United Kingdom,8th February 1983 (age 39),,Lexx,30th June 2003 (18 years ago),,,5'0'' (1.52 m)
7104,unknown,"Los Angeles, California (United States of America)",1961,,Cheryl Rusa,,,105 lbs. (48 kg) at 5'1'' (1.55 m),
7105,unknown,"Manchester, Greater Manchester, England (United Kingdom)",24th December 1984 (age 37),,Louise Lockwood,,,140 lbs. (64 kg) at 5'3'' (1.60 m),
7107,unknown,,,,Jason Jailette,,,,
7108,unknown,"Montgomery, Vermont (United States of America)",20th June 1988 (age 33),,Lindsay Lynn,30th July 2005 (16 years ago),,130 lbs. (59 kg) at 5'2'' (1.57 m),
7109,Scott Groverston,,,,Maxx Burton,,,,
7110,unknown,"Killington, Vermont (United States of America)",22nd September 1974 (age 47),,Alexzandra,,,130 lbs. (59 kg) at 5'5'' (1.65 m),
7111,Steven Brice,Texas (United States of America),,,JP Black,1997,,205 lbs. (93 kg) at 6'0'' (1.83 m),
7112,unknown,"Manchester, Greater Manchester, England (United Kingdom)",,,Michelle Madison,,,125 lbs. (57 kg) at 5'4'' (1.63 m),
7113,Laura Ochoa,"Guadalajara, Jalisco (Mexico)",2nd February 1983 (age 39),,Mia Martínez ,,,125 lbs. (57 kg) at 5'4'' (1.63 m),
7114,unknown,"Tomball, Texas (United States of America)",,,Nayati Mattox,,,138 lbs. (63 kg) at 5'3'' (1.60 m),
7115,unknown,"West Haven, Utah (United States of America)",,,Tanner McKee,,,175 lbs. (79 kg) at 5'7'' (1.70 m),
7116,unknown,Virginia (United States of America),31st December ???,,Molly McShane ,,,130 lbs. (59 kg) at 5'5'' (1.65 m),
7117,unknown,Nevada (United States of America),,,Tiffani Monroe ,,,130 lbs. (59 kg) at 5'5'' (1.65 m),
7118,unknown,"Johnston City, Illinois (United States of America)",,,Maria Montana,1997,,160 lbs. (73 kg) at 5'6'' (1.68 m),
7119,Candace Maria Rummel,,1st January 1959,9th February 2022,Candy Devine ,1980,,,
7121,unknown,"Syracuse, New York (United States of America)",22nd March 1978 (age 43),,Ms. TNT ,,,120 lbs. (54 kg) at 5'3'' (1.60 m),
7122,unknown,"Minneapolis, Minnesota (United States of America)",,,Mystique ,,,130 lbs. (59 kg) at 5'6'' (1.68 m),
7123,Nikki Tsugranes,"New York City, New York (United States of America)",15th August 1980 (age 41),,Nikki the Knockout ,,,165 lbs. (75 kg) at 5'9'' (1.75 m),
7124,unknown,"Philadelphia, Pennsylvania (United States of America)",,,NYX,,,260 lbs. (118 kg) at 6'5'' (1.96 m),
7125,Maximus Alexander,"Ottawa, Ontario (Canada)",,,Max Alexander,22nd September 2001 (20 years ago),,202 lbs. (92 kg) at 5'8'' (1.73 m),
7126,unknown,,,,Adam Cage,,,,
7127,unknown,"Yorktown, Virginia (United States of America)",10th September 1980 (age 41),,Persephone ,1999,,152 lbs. (69 kg) at 5'8'' (1.73 m),
7128,unknown,"Baltimore, Maryland (United States of America)",6th November ???,,Kylie Pierce ,,,124 lbs. (56 kg) at 5'6'' (1.68 m),
7129,unknown,"Knoxville, Tennessee (United States of America)",20th March ???,,Kassie Rains,,,120 lbs. (54 kg) at 5'5'' (1.65 m),
7130,Elizabeth Chase,,1st February 1959,26th February 2000,Liz Chase ,1981,,134 lbs. (61 kg) at 5'4'' (1.63 m),
7131,Bradley Joseph Annis,"Boston, Massachusetts (United States of America)",1947,,BJ Annis,1986,238 lbs. (108 kg),,
7132,unknown,"Vincennes, Indiana (United States of America)",26th April ???,,Scarlett Rose,,,140 lbs. (64 kg) at 5'5'' (1.65 m),
7135,unknown,"Charleston, South Carolina (United States of America)",,,Rowdy Red,,,140 lbs. (64 kg) at 5'6'' (1.68 m),
7136,Taylor Nicole Shawiak,New Jersey (United States of America),14th December 1983 (age 38),,Taylor Nicole ,,,255 lbs. (116 kg) at 5'6'' (1.68 m),
7137,unknown,"Abington, Pennsylvania (United States of America)",13th December 1978 (age 43),,Missy Sampson ,1995,,155 lbs. (70 kg) at 5'7'' (1.70 m),
7138,unknown,"Swindon, Wiltshire, England (United Kingdom)",9th December 1985 (age 36),,Sugar Sánchez,,,140 lbs. (64 kg) at 5'7'' (1.70 m),
7139,unknown,"Baltimore, Maryland (United States of America)",,,Sasha,,,,5'10'' (1.78 m)
7140,unknown,"Manchester, Greater Manchester, England (United Kingdom)",,,Kirsten Scott,,,160 lbs. (73 kg) at 5'10'' (1.78 m),
7141,unknown,"East Orange, New Jersey (United States of America)",,,Shayla ,,,150 lbs. (68 kg) at 5'7'' (1.70 m),
7142,unknown,"New Bedford, Massachusetts (United States of America)",,,Allaylah Silky ,,,116 lbs. (53 kg) at 5'0'' (1.52 m),
7143,unknown,"Indianapolis, Indiana (United States of America)",,,Camron Star ,,,165 lbs. (75 kg) at 5'8'' (1.73 m),
7144,unknown,"Beckley, West Virginia (United States of America)",17th August 1983 (age 38),,Nicole Starr,,,160 lbs. (73 kg) at 5'2'' (1.57 m),
7145,unknown,"Sacramento, California (United States of America)",6th June ???,,Amanda Storm ,1998,,170 lbs. (77 kg) at 5'7'' (1.70 m),
7146,Melissa Spero,"New York City, New York (United States of America)",29th July 1988 (age 33),,Melissa Stripes ,??th October 2002,,136 lbs. (62 kg) at 5'5'' (1.65 m),
7147,Amanda Huber,"Rochester, New York (United States of America)",,,Synndy ,,,135 lbs. (61 kg) at 5'5'' (1.65 m),
7148,unknown,"Fort Worth, Texas (United States of America)",,,Payge Turner,,,135 lbs. (61 kg) at 5'8'' (1.73 m),
7150,unknown,"Winnipeg, Manitoba (Canada)",,,Ashleigh Vayda,,,130 lbs. (59 kg) at 5'6'' (1.68 m),
7151,unknown,"Austin, Texas (United States of America)",,,Venus,,,145 lbs. (66 kg) at 5'4'' (1.63 m),
7152,unknown,"Detroit, Michigan (United States of America)",24th August 1978 (age 43),,Violent Jade,,,145 lbs. (66 kg) at 5'4'' (1.63 m),
7153,unknown,"New York City, New York (United States of America)",23rd June ???,,Amanda Violet,??th October 1999,,,5'3'' (1.60 m)
7156,Brandy Way,"Johnstown, Pennsylvania (United States of America)",10th August 1980 (age 41),,Brittany Force ,,,125 lbs. (57 kg) at 5'5'' (1.65 m),
7157,unknown,"Pensacola, Florida (United States of America)",,,Zip,,,130 lbs. (59 kg) at 5'5'' (1.65 m),
7158,unknown,"Longview, Washington (United States of America)",,,Angyl,,,125 lbs. (57 kg) at 5'4'' (1.63 m),
7159,unknown,,,,Lauren Davenport ,,,,
7161,unknown,"Shelby, North Carolina (United States of America)",,,Felonie Cortez,,,150 lbs. (68 kg) at 5'1'' (1.55 m),
7162,unknown,"Oneida, Tennessee (United States of America)",10th February ???,,Dangerous Heart,27th October 2001 (20 years ago),,106 lbs. (48 kg) at 5'6'' (1.68 m),
7163,unknown,Mexico,,,El Mercurio,,,,
7164,unknown,California (United States of America),29th April 1991 (age 30),,El Mercurio Jr.,29th February 2008 (14 years ago),,155 lbs. (70 kg) at 5'6'' (1.68 m),
7165,unknown,"Ciudad de México, Ciudad de México (Mexico)",9th October 1952 (age 69),,Tigre de Bengala #2,1979,,187 lbs. (85 kg) at 5'7'' (1.70 m),
7167,unknown,"Ciudad de México, Ciudad de México (Mexico)",15th April 1976 (age 45),,Hara Kiri Jr.,,,,
7168,unknown,Mexico,27th May 1939 (age 82),,Saeta Azteca,16th September 1963 (58 years ago),,,5'7'' (1.70 m)
7169,unknown,"Guadalajara, Jalisco (Mexico)",21st May 1978 (age 43),,Kal-El,,,,
7171,unknown,"St. Louis, Missouri (United States of America)",22nd November 1967 (age 54),,Ron Powers,,,255 lbs. (116 kg) at 6'2'' (1.88 m),
7173,unknown,Mexico,,,Bronce,,,,
7174,Clemente Hernández,Mexico,11th March 1971 (age 51),,Tornado Killer,21st December 1989 (32 years ago),,230 lbs. (104 kg) at 5'8'' (1.73 m),
7177,Juan Flores,"Huamantla, Tlaxcala (Mexico)",10th March 1958 (age 64),,El Desconfiado,,,168 lbs. (76 kg) at 5'7'' (1.70 m),
7178,unknown,Mexico,,25th January 2022,Piraña,,,,
7179,unknown,"Monterrey, Nuevo León (Mexico)",27th April 1976 (age 45),,Difunto #1,,,212 lbs. (96 kg) at 6'0'' (1.83 m),
7180,Gerardo Livas Segura,"San Pedro, Coahuila de Zaragoza (Mexico)",26th January 1965 (age 57),,Difunto #2,??th September 1983,,,5'9'' (1.75 m)
7182,Brent Tarring,"Baltimore, Maryland (United States of America)",1982,,Timmy Baltimore,19th December 2007 (14 years ago),,,5'7'' (1.70 m)
7183,unknown,"Monclova, Coahuila de Zaragoza (Mexico)",,,Babe Rap,,,,
7184,Rafael González López,"Magdalena, Jalisco (Mexico)",25th November 1952 (age 69),,Rafa el Maya,,,,
7185,unknown,Mexico,,,El Terrorista #1,,,,
7186,unknown,Mexico,,,El Terrorista #2,,,,
7187,Bobby Cruise,"Rochester, Massachusetts (United States of America)",1973,,Bobby Cruise,2004,,,5'7'' (1.70 m)
7190,unknown,,,,Jerry Wilson,,,,
7191,unknown,"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",6th April 1985 (age 36),,Nick Damocles,,,,
7192,unknown,"St Helens, Merseyside, England (United Kingdom)",15th August 1986 (age 35),,The JokeRico,,,178 lbs. (81 kg) at 6'1'' (1.85 m),
7194,unknown,"Alderley Edge, Cheshire, England (United Kingdom)",16th January 1981 (age 41),,Angel D'Souza,,,235 lbs. (107 kg) at 5'11'' (1.80 m),
7195,unknown,"Liverpool, Merseyside, England (United Kingdom)",,,Baz Mac,,,,
7196,unknown,United Kingdom,,,Brandon Knight,2006,,,
7197,unknown,"Runcorn, Cheshire, England (United Kingdom)",30th July 1982 (age 39),,Bennett,,,160 lbs. (73 kg) at 6'2'' (1.88 m),
7198,unknown,"Greater Manchester, England (United Kingdom)",,,Chris Lane,,,,
7199,unknown,"Wigan, Greater Manchester, England (United Kingdom)",11th October 1983 (age 38),,Deacon Kay,,,217 lbs. (98 kg) at 6'2'' (1.88 m),
7200,unknown,"Runcorn, Cheshire, England (United Kingdom)",12th June 1987 (age 34),,King,2004,,235 lbs. (107 kg) at 6'2'' (1.88 m),
7201,unknown,"Wigan, Greater Manchester, England (United Kingdom)",29th November 1991 (age 30),,D-Mac,2006,,240 lbs. (109 kg) at 6'2'' (1.88 m),
7202,unknown,"Warrington, Cheshire, England (United Kingdom)",,,Greg Hammond,,,210 lbs. (95 kg) at 5'11'' (1.80 m),
7203,unknown,"Frodsham, Cheshire, England (United Kingdom)",16th December 1970 (age 51),,Hannibal Ramseed,2005,,190 lbs. (86 kg) at 5'6'' (1.68 m),
7205,unknown,"Runcorn, Cheshire, England (United Kingdom)",,,Joe Steel,,,,
7206,unknown,"Essex, England (United Kingdom)",31st December 1981 (age 40),,Maverick,,,155 lbs. (70 kg) at 5'11'' (1.80 m),
7207,unknown,"Runcorn, Cheshire, England (United Kingdom)",,,Nymrod,,,,
7208,unknown,"Wigan, Greater Manchester, England (United Kingdom)",,,Paul Razor,,,,
7210,Ryan Kinch,"Wigan, Greater Manchester, England (United Kingdom)",3rd April 1993 (age 28),,Ricky Kay,,,,5'9'' (1.75 m)
7211,unknown,"Runcorn, Cheshire, England (United Kingdom)",,,The Rocket Powered Love Machine,,,,
7216,unknown,"Runcorn, Cheshire, England (United Kingdom)",,,The Pink Assassin ,,,,
7217,unknown,"Runcorn, Cheshire, England (United Kingdom)",,,Cromo ,,,,
7218,unknown,"Runcorn, Cheshire, England (United Kingdom)",,,Purple Haze ,,,,
7219,unknown,"Wigan, Greater Manchester, England (United Kingdom)",9th May 1990 (age 31),,Stacey Kay ,2007,,,
7221,unknown,"Spartanburg, South Carolina (United States of America)",18th August 1953 (age 68),,Jay Eagle,,,,
7222,unknown,,4th August 1938,24th August 2013,Don Slatton,,,,
7223,Irene Francisco,,,,Bonita White Dove ,,,,
7225,Eric Ronald Pomeroy,"St. Johns, Newfoundland and Labrador (Canada)",12th June 1933,29th September 2012,Eric Pomeroy,,,,
7226,unknown,,,3rd October 1981,Bob Morse,,,,
7227,José Alex Pérez,,11th November 1929,27th June 2001,Alex Pérez,29th June 1951 (70 years ago),,,
7229,Philip Thompson Robley,United States of America,19th January 1945,28th May 2013,Buck Robley,,,,
7231,James Clayton Dykes,Tennessee (United States of America),5th August 1926,20th November 1993,J.C. Dykes,,,,
7233,Howard Newell,"Burlington, Wisconsin (United States of America)",12th May 1945 (age 76),,Bill Howard,,,,
7234,unknown,,,,Bob Griffin,,,,
7235,unknown,"Roanoke, Virginia (United States of America)",,,Erotica D'Vine,,,,5'0'' (1.52 m)
7236,Gordon George Nelson,"Winnipeg, Manitoba (Canada)",27th March 1930,18th December 2012,Gordon Nelson,1953,,220 lbs. (100 kg) at 5'11'' (1.80 m),
7238,unknown,"Fall River, Massachusetts (United States of America)",,,Kacie Danyells,,,130 lbs. (59 kg) at 5'3'' (1.60 m),
7240,unknown,"New York City, New York (United States of America)",24th July ???,,Siren Demented,,,,5'5'' (1.65 m)
7241,Drew Hicks,,,,Blackwater,,,215 lbs. (98 kg) at 5'10'' (1.78 m),
7242,Robin Kurtz,"Nashville, Tennessee (United States of America)",8th December 1975 (age 46),,Brittany Diamond,1992,,121 lbs. (55 kg) at 5'4'' (1.63 m),
7245,unknown,"Jefferson, North Carolina (United States of America)",,,Brady Hawks,,,,
7246,Douglas Goodwin McMichen,"Staunton, Virginia (United States of America)",23rd March 1946,31st December 1998,Tank Patton,,,,
7248,unknown,"Tampa, Florida (United States of America)",,,Marc Mandrake,,,245 lbs. (111 kg) at 5'7'' (1.70 m),
7249,Ian Anthony,,22nd August ???,,Ian Decay,??th January 1997,,210 lbs. (95 kg) at 5'9'' (1.75 m),
7250,Raymond Norman Schaefer Jr.,"Michigan City, Indiana (United States of America)",28th February 1933 (age 89),,Ray Schaefer,31st July 1957 (64 years ago),,,
7251,	John Kereczman,,11th October ???,,John Rambo,,,250 lbs. (113 kg) at 6'4'' (1.93 m),
7253,unknown,,,,Tommy Mandrake,,,,
7255,unknown,"Syracuse, New York (United States of America)",,,Rebecca Halen ,,,,5'5'' (1.65 m)
7256,unknown,"Syracuse, New York (United States of America)",,,Chris Halen,2002,,155 lbs. (70 kg) at 6'2'' (1.88 m),
7257,unknown,"Point Marion, Pennsylvania (United States of America)",,,Amy Ash,??th December 2001,,,5'3'' (1.60 m)
7259,unknown,,,,Sean Denny,,,,
7260,unknown,"Elmira, New York (United States of America)",,,Big Papa Chill,1989,,350 lbs. (159 kg) at 6'0'' (1.83 m),
7261,unknown,"Rochester, New York (United States of America)",,,Brian Emanon,2003,,180 lbs. (82 kg) at 5'11'' (1.80 m),
7262,unknown,"Rochester, New York (United States of America)",,,Chance Taylor,27th July 2004 (17 years ago),,255 lbs. (116 kg) at 6'3'' (1.91 m),
7263,unknown,"Syracuse, New York (United States of America)",,,Dynamite Derek,??th October 2002,,180 lbs. (82 kg) at 5'11'' (1.80 m),
7264,Ed Delaney,"Thunder Bay, Ontario (Canada)",,,Freddie Midnight,2001,,175 lbs. (79 kg) at 5'11'' (1.80 m),
7265,unknown,"Cape Coral, Florida (United States of America)",,,JC Money,15th February 2000 (22 years ago),,170 lbs. (77 kg) at 5'5'' (1.65 m),
7268,unknown,"Jacksonville, Florida (United States of America)",,,Austin Darwin Downing,1992,,185 lbs. (84 kg) at 5'9'' (1.75 m),
7269,unknown,"Laguna Beach, California (United States of America)",,,Ash Kristiansen,2007,,175 lbs. (79 kg) at 6'0'' (1.83 m),
7270,unknown,"Fenton, Michigan (United States of America)",,,Bobby Wohlfert,2007,,190 lbs. (86 kg) at 5'7'' (1.70 m),
7271,unknown,"Fermanagh, Northern Ireland (United Kingdom)",,,Heater,2000,,204 lbs. (93 kg) at 5'8'' (1.73 m),
7272,unknown,"Seattle, Washington (United States of America)",,,James Morrison,2002,,215 lbs. (98 kg) at 6'0'' (1.83 m),
7273,unknown,,,,Jim Maloney,,,,
7275,unknown,,,,Angelo Gómez,,,,
7276,unknown,,,,Steve Lawler,,,,
7277,unknown,"Apopka, Florida (United States of America)",,,Jayson Copely,2006,,335 lbs. (152 kg) at 6'7'' (2.01 m),
7278,unknown,,,,Jerome Hendrix,,,,
7280,unknown,"Laconia, New Hampshire (United States of America)",,,Legion Cage,,,175 lbs. (79 kg) at 5'8'' (1.73 m),
7281,Stephen Cacciola,"Tampa, Florida (United States of America)",16th July 1980 (age 41),,Lou Cypher,2007,,328 lbs. (149 kg) at 6'10'' (2.08 m),
7282,unknown,"Bridgeport, Connecticut (United States of America)",,,Marcus Hall,26th January 2001 (21 years ago),,232 lbs. (105 kg) at 5'10'' (1.78 m),
7283,unknown,"Las Vegas, Nevada (United States of America)",,,Myles Long,,,190 lbs. (86 kg) at 6'0'' (1.83 m),
7285,unknown,"Seminole, Florida (United States of America)",,,Nick Fame,2006,,180 lbs. (82 kg) at 5'11'' (1.80 m),
7286,unknown,"Tampa, Florida (United States of America)",,,Nooie Lee,??th July 2005,,169 lbs. (77 kg) at 5'7'' (1.70 m),
7287,unknown,,,,Pretty Fly,,,,
7288,unknown,"Catskill, New York (United States of America)",,,Ray Beez,2000,,215 lbs. (98 kg) at 5'11'' (1.80 m),
7291,unknown,,,,Shayne Swyft,,,150 lbs. (68 kg) at 5'7'' (1.70 m),
7292,unknown,,,,Vinndetta,,,,
